"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-10-16","Haddon Heights","NJ","08035","Naples","FL","34120","1150.00","[{""id"":""1"",""year"":""2019"",""model"":""Portofino"",""make"":""Ferrari"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""1630.00"",""total"":""1630.00"",""color"":"""",""plate"":"""",""vin"":"""",""plate_state_code"":"""",""lot_number"":""""}]","2","1"
"2020-04-30","Las Vegas","NV","89119","Weslaco","TX",""," 1350.00","","1","1"
"2022-05-02","Ambler","PA","19002","Irvine","CA","92618","1300.00","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Jetta Vento Bora"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0.0"",""total"":""1600.00"",""id"":""482e30cf_039a_3d7c_6822_bc753fc2287e""}]","1","1"
"2021-06-07","Las Vegas","NV","89158","Glendale Heights","IL","60108"," 1590.00","","1","1"
"2022-04-21","Las Vegas","NV","89119","Randolph","OH","44265","2015.00","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1FATP8FF1M5143363 "",""lot_number"":"""",""color"":""Blue Speedster"",""year"":""2021"",""model"":""Shelby Mustang Supersnake "",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0.0"",""total"":""2650.00"",""id"":""4efd7773_10c5_aa81_914f_3567a7d94d62""}]","2","1"
"2019-08-16","Las","Vegas","","Baytown","TX",""," 635.00","","1","1"
"2019-01-07","Newtown Square","PA","19073","Boca Raton","FL","33432"," 825.00","","1","1"
"2025-02-04","Corbin","KY","40701","West Chester","PA","19382","560.00","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""840.00"",""total"":""840.00"",""id"":""79b00363_8708_5974_f334_1f6651242d04""}]","1","1"
"2021-05-29","Portland","ME","04104","Conshohocken","PA","19428"," 600.00","","1","1"
"2022-03-02","Newtown","PA","18940","The Villages","FL","32162","1285.00","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2007"",""model"":""Sl Klasse 600"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0.0"",""total"":""1500.00"",""id"":""29ff0ecb_0a2c_3fc2_5e33_e8d559351396""}]","2","1"
