"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2022-05-23","Las Vegas","NV","89149","Frisco","TX","75035","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2022"",""model"":""CX-5"",""make"":""Mazda"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""150"",""total"":""900"",""id"":""19236b68_5382_275e_ec0a_75f6a549092d""}]","1","1"
"2022-05-28","Dallas","TX","75206","Santa Monica","CA","90405","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2020"",""model"":""Z4"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""7fd8ac1e_1a05_2471_fe8d_1a2f38bf7227""}]","1","1"
"2022-05-17","Troy","NY","12180","Brooklyn","NY","11208","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Civic"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""550"",""id"":""265b311d_24c3_c1ce_cf60_b2721998cd11""}]","1","1"
"2022-05-27","Phoenix","AZ","85017","Indianapolis","IN","46241","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Civic"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1000"",""id"":""5030df11_496f_a701_58eb_f0102df17f2c""}]","1","1"
"2022-05-15","Stockton","CA","95206","Copperas Cove","TX","76522","1300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2020"",""model"":""Civic"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""228"",""total"":""1528"",""id"":""67d3dd0c_db55_1a29_4339_43439d3ae2f4""}]","1","1"
"2022-05-05","Jackson","WY","83001","The Colony","TX","75056","1400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""4Runner"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1500"",""id"":""8fa38a08_7994_426a_11b5_4f3f77594cdd""}]","1","1"
"2022-05-25","Galesburg","IL","61401","Cincinnati","OH","45204","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Captiva"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""150"",""total"":""850"",""id"":""0cc0e65c_9182_7914_d796_aff0a1b4c234""}]","1","0"
"2022-06-18","Longwood","FL","32791","Winchester","IN","47394","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Model S"",""make"":""Tesla"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1100"",""id"":""0190cd30_ab68_1a9e_98f4_2486f36a92eb""}]","2","1"
"2022-07-07","Maryville","TN","37801","Brooklyn","NY","11229","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""F-150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1100"",""id"":""a3b2f680_f495_0d64_3b75_0d6bbe2dff3a""}]","1","1"
"2024-06-04","Kissimmee","FL","34742","Fort Myers","FL","33902","125","[{""id"":""0"",""year"":""2016"",""model"":""Impreza"",""make"":""Subaru"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""25"",""total"":""150""}]","1","1"
"2022-06-11","San Diego","CA","92126","Detroit","MI","48242","1200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Civic"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1400"",""id"":""641b42b9_0eec_266f_9ddc_1b982936d6bd""}]","1","1"
"2024-10-15","Houston","TX","77068","Elephant Butte","NM","87935","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2001"",""model"":""LRV"",""make"":""Sea Doo"",""type"":""Boat"",""recommended_price"":""0"",""deposit"":""200"",""total"":""900"",""id"":""9cb7ac40_d0fd_4b94_292a_fd50828e8b64""}]","1","1"
"2024-06-14","Vienna","VA","22182","Seattle","WA","98109","1400","[{""id"":""0"",""year"":""2012"",""model"":""Optima"",""make"":""Kia"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1600""}]","1","1"
"2022-05-24","Fort Pierce","FL","34946","Sacramento","CA","95817","1400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Prius"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1500"",""id"":""190e2d6e_e594_2e12_b986_a551c4c5354c""}]","1","1"
"2022-06-03","San Diego","CA","92102","Indianapolis","IN","46224","1300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""CTS"",""make"":""Cadillac"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""210"",""total"":""1510"",""id"":""f47612f2_f923_888c_ee99_474e43fcfacf""}]","1","1"
