"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-03-18","Temple","GA","30179","Houston","TX","77029","450","[{""id"":""0"",""year"":""2006"",""model"":""Malibu"",""make"":""Chevy"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""550""}]","1","1"
"2024-03-25","Friendswood","TX","77546","San Jose","CA","95128","500","[{""id"":""0"",""year"":""2002"",""model"":""Grand Prix"",""make"":""Pontiac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""600""}]","1","1"
"2024-06-17","Conyers","GA","30012","Antelope","CA","95843","900","[{""id"":""0"",""year"":""2020"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1000""}]","1","1"
"2024-06-25","Overland Park","KS","66204","Burlington","MA","01803","700","[{""id"":""0"",""year"":""2015"",""model"":""Accent"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""825""}]","1","1"
"2024-07-17","Fort Lauderdale","FL","33308","Scranton","PA","18510","750","[{""id"":""0"",""year"":""2018"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""850""}]","1","1"
"2024-10-08","Anaheim","CA","92805","Romulus","MI","48174","1200","[{""id"":""0"",""year"":""1988"",""model"":""S-10 Blazer"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1350""}]","1","0"
"2023-10-20","Houston","TX","77063","Fort Lauderdale","FL","33308","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Sedan "",""make"":""Saab 9-5"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""208"",""total"":""608"",""id"":""75ad3cc6_8b75_6263_3c8b_28ca1ec444e4""}]","1","1"
"2023-10-30","Orlando","FL","32814","Hollywood","FL","33021","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""focus se"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""300"",""id"":""b21fbf99_6c07_d6ff_076f_9246a5496067""}]","1","1"
"2024-03-09","Newton","KS","67114","Detroit","MI","48201","450","[{""id"":""0"",""year"":""2015"",""model"":""Suburban"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""700""}]","1","1"
"2024-03-15","Chicago","IL","60626","Cranston","RI","02921","550","[{""id"":""0"",""year"":""2013"",""model"":""Focus"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""650""}]","1","1"
"2024-03-15","Phoenix","AZ","85041","Las Vegas","NV","89148","200","[{""id"":""0"",""year"":""2007"",""model"":""328i"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""325""}]","1","0"
"2024-04-11","Westland","MI","48185","Palm Beach Gardens","FL","33418","600","[{""id"":""0"",""year"":""2013"",""model"":""Flex"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""80"",""total"":""680""}]","1","1"
"2024-03-19","Mystic","CT","06355","Fort Myers","FL","33919","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""Cooper"",""make"":""Mini"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""750"",""id"":""bc3eac7d_3ba3_12a2_ddfb_b3f079be32e8""}]","1","1"
"2024-03-28","Gonzales","TX","78629","Ontario","CA","91758","1200","[{""id"":""0"",""year"":""2011"",""model"":""F350"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1300""}]","1","0"
"2024-07-09","Decatur","GA","30033","Austin","TX","78739","500","[{""id"":""0"",""year"":""2018"",""model"":""X5"",""make"":""Bmw"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""600""}]","1","1"
"2024-03-14","Pearland","TX","77581","Springfield","OH","45503","500","[{""id"":""0"",""year"":""2003"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""700""}]","1","1"
"2024-03-26","Cortlandt Manor","NY","10567","Suffolk","VA","23434","400","[{""id"":""0"",""year"":""2012"",""model"":""Passat"",""make"":""Volkswagon"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
