"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-10-07","Sacramento","CA","95814","Kent","WA","98032","400","[{""id"":""0"",""year"":""2007"",""model"":""Aveo"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""550.00""}]","1","1"
"2024-05-22","Port Orange","FL","32127","Deltona","FL","32738","100","[{""id"":""0"",""year"":""2010"",""model"":""Venza"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""125"",""total"":""225""}]","1","1"
"2024-08-12","Menifee","CA","92584","Jacksonville","FL","32218","1200","[{""id"":""0"",""year"":""2013"",""model"":""sonata "",""make"":""Hyundai "",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""1375""}]","1","1"
"2024-08-19","Irving","TX","75063","Orlando","FL","32820","400","[{""id"":""0"",""year"":""2018"",""model"":""Giulia"",""make"":""Alfa Romeo"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""550""}]","1","1"
"2024-09-02","Orlando","FL","32832","American Fork","UT","84003","950","[{""id"":""0"",""year"":""2023"",""model"":""Kona"",""make"":""Hyundai"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1150""}]","1","1"
"2024-09-02","Apollo Beach","FL","33572","Savannah","GA","31415","775","[{""id"":""0"",""year"":""2020"",""model"":""7 Series"",""make"":""Bmw"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""600""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Cayenne"",""make"":""Porsche"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""625"",""id"":""709086e9_626d_75a2_fc3d_d86b1a9fd87d""}]","1","1"
"2024-10-22","Pierre","SD","57501","Chandler","AZ","85248","1650","[{""id"":""0"",""year"":""2012"",""model"":""Cruze"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200.00"",""total"":""1025.00""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Lesabre"",""make"":""Buick"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200.00"",""total"":""1025.00"",""id"":""7b6b7de2_b2cd_0616_5d33_9b952b6946c8""}]","1","1"
"2024-09-25","Buffalo","NY","14225","Tequesta","FL","33469","900","[{""id"":""0"",""year"":""2019"",""model"":""Highlander"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1050""}]","1","1"
"2024-10-18","Buffalo","NY","14222","Naples","FL","34116","975","[{""id"":""0"",""year"":""2002"",""model"":""Camaro"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""175.00"",""total"":""1150.00""}]","1","1"
"2024-10-15","Spring","TX","77386","Richmond","CA","94804","550","[{""id"":""0"",""year"":""2014"",""model"":""Soul"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""600""}]","1","1"
