"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-12-31","Bradenton","FL","34208","Pompano Beach","FL","33068","250","[{""id"":""0"",""year"":""2022"",""model"":""K5"",""make"":""KIA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""250"",""lot_number"":""112151""}]","1","1"
"2024-04-01","Youngstown","OH","44512","Houston","TX","77035","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""CIVIC"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1000"",""id"":""f6f7c355_1d2e_95b6_0ac9_4bfc2fa5d202""}]","1","1"
"2025-01-15","Webster","NY","14580","Naples","FL","34112","1600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1995"",""model"":""heritage"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""0"",""total"":""600"",""id"":""ad784cb3_5f59_9bc6_c4b6_22ffbb4d7424""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2009"",""model"":""Softail custom"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""0"",""total"":""500"",""id"":""906425f8_307c_6f77_cae6_44d183f901eb""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Street glide"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""0"",""total"":""500"",""id"":""5ed1e367_b111_8409_cb40_235ae4ffca9d""}]","1","1"
"2024-12-20","Jupiter","FL","33478","Jacksonville","FL","32206","225","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""23702073"",""color"":"""",""year"":""2012"",""model"":""Maxima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""275"",""id"":""54410308_9f73_5648_e7ac_e560619efceb""}]","1","1"
"2024-12-28","Portage","MI","49002","Titusville","FL","32780","1200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""Acadia"",""make"":""Gmc"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1200"",""id"":""8ae5d5a7_33f3_becc_a586_ef24b228879e""}]","1","1"
"2024-11-27","West Palm Beach","FL","33415","Spokane","WA","99223","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""CX 5"",""make"":""Mazda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1100"",""id"":""9d040a2e_9f62_f3ab_9622_5e2669f5b2d8""}]","1","1"
"2024-11-26","Longview","WA","98632","Seattle","WA","98106","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""M35"",""make"":""Infiniti"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""75"",""total"":""325"",""id"":""eaf385da_7112_52e4_c04a_9058cf26c411""}]","1","1"
"2024-12-11","Tucson","AZ","85721","Jacksonville","FL","32219","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""ACCORD"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""800"",""id"":""9fe7aecc_5ea8_687b_e97c_8aef13c88383""}]","1","1"
"2024-12-09","Madison","WI","53704","Hollywood","FL","33021","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Cruze"",""make"":""CHEVROLET"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""700"",""id"":""c1395df1_42a0_33cc_1b7e_6b718a486570""}]","1","1"
"2024-12-17","Marion","NC","28752","Eugene","OR","97402","2100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1994"",""model"":""jb 500"",""make"":""Mitsubishi"",""type"":""Other"",""recommended_price"":""0"",""deposit"":""0"",""total"":""2100"",""id"":""5ae73719_1af8_35c4_e8f0_ac0b0111a910""}]","1","1"
