"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-05-30","Irving","TX","75038","Englewood","CO","80113","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Prius "",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""695"",""id"":""8bdf8254_08f3_818b_804a_7fd6fa182295""}]","1","1"
"2023-03-08","Pekin","IL","61554","Dothan","AL","36303","725","[{""id"":""0"",""year"":""1979"",""model"":""Riviera"",""make"":""Buick"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""775"",""vin"":""Vin# 4Z5739E139664 ""}]","1","1"
"2022-02-10","Grove City","OH","43123","Dundalk","MD","21222","425","[{""id"":""1"",""year"":""2003"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""475"",""color"":"""",""plate"":"""",""vin"":"""",""plate_state_code"":"""",""lot_number"":""31932875""}]","1","1"
"2023-06-03","Cockeysville","MD","21030","Saint Paul","MN","55114","800","[{""id"":""0"",""year"":""2014"",""model"":""RAV4"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","1"
"2023-07-26","Bangor","ME","04401","Groton","CT","06340","350","[{""id"":""0"",""year"":""2014"",""model"":""X3"",""make"":""BMW"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450""}]","1","1"
"2022-10-14","New Iberia","LA","70563","Houston","TX","77054","700","[{""id"":""0"",""year"":""1986"",""model"":""Cobra"",""make"":""AC"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""500""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1986"",""model"":""Cobra"",""make"":""AC"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""500"",""id"":""b87c6d6c_5a28_4344_5d23_03f250425a83""}]","2","1"
"2022-05-04","Quincy","MA","02170","Lafayette","IN","47909","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1977"",""model"":""Celica"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""350"",""total"":""1200"",""id"":""148378eb_5a44_acf0_793b_463fffc2eef7""}]","2","1"
"2023-06-01","PORT WASHINGTON","NY","11050","WELDON SPRING","MO","63304","770","[{""id"":""0"",""year"":""2000"",""model"":""CAMRY"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""850""}]","1","1"
"2022-04-19","Atlanta","GA","30331","Maize","KS","67101","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""7731830"",""color"":"""",""year"":""2010"",""model"":""1500"",""make"":""C"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""50"",""total"":""1050"",""id"":""1a7bad3e_a6f2_c9c6_8344_257f4cfb5a1e""}]","1","1"
"2022-12-08","San Antonio","TX","78249","Boca Raton","FL","33428","470","[{""id"":""0"",""year"":""2015"",""model"":"",428"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""80"",""total"":""550""}]","1","1"
