"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2021-12-21","Garland","TX","75040","Chicago","IL","60640","400.00","[{""id"":""10000001"",""year"":""2018"",""model"":""Camry"",""make"":""Toyota"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
"2021-12-12","Somerset","NJ","08873","New Orleans","LA","70122","1100.00","[{""id"":""10000001"",""year"":""2014"",""model"":""S-Class"",""make"":""Mercedes"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1200""}]","1","1"
"2021-12-08","Rosharon","TX","77583","Princeton","TX","75407","170.00","[{""id"":""10000001"",""year"":""2014"",""model"":""Fusion"",""make"":""Ford"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""220""}]","1","1"
"2021-11-25","BREMERTON","WA","98311","Saint Marys","GA","31558","1250.00","[{""id"":""10000001"",""year"":""2016"",""model"":""Camaro"",""make"":""Chevrolet"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1350""}]","1","1"
"2021-12-04","Jonesboro","GA","30236","Orlando","FL","32832","370.00","[{""id"":""10000001"",""year"":""2003"",""model"":""X5 "",""make"":""Bmw"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""470""}]","1","0"
"2021-12-11","Sherman Oaks ","CA","91423 ","Nashville","TN","37207","1000.00","[{""id"":""10000001"",""year"":""2016"",""model"":""Wrangler"",""make"":""Jeep"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1100""}]","1","1"
"2021-11-29","Gold Canyon","AZ","85118","Norwell","MA","02061","1050.00","[{""id"":""10000001"",""year"":""2017"",""model"":""Terrain"",""make"":""Gmc"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1250""}]","1","1"
"2021-12-04","Lenoir","NC","28645","Drake","ND","58736","1600.00","[{""id"":""10000001"",""year"":""2013"",""model"":""Caprice"",""make"":""Chevrolet"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1700""}]","1","1"
"2021-12-01","Gainesville","FL","32608","West Haven","CT","06516","400.00","[{""id"":""10000001"",""year"":""2009"",""model"":""Crown Victoria"",""make"":""Ford"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
"2021-11-15","Highland,CALIFORNIA 92346","CA","92346","HOUSTON","TX","77095","650.00","[{""id"":""10000001"",""year"":""2008"",""model"":""Continental "",""make"":""Bentley"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""750""}]","1","0"
