"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-06-10","Granby","CO","80446","Custer","SD","57730","1050","[{""id"":""0"",""year"":""1995"",""model"":""2855 Ciera"",""make"":""bayliner"",""type"":""Boat"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1350""}]","1","1"
"2023-06-05","Miami Gardens","FL","33056","Houston","TX","77058","850","[{""id"":""0"",""year"":""2017"",""model"":""A3"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""850""}]","1","1"
"2023-06-19","Dorchester Center","MA","02124","Orlando","FL","32839","750","[{""id"":""0"",""year"":""2012"",""model"":""Sierra 2500 Crew Cab Short Bed"",""make"":""GMC"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""900""}]","1","1"
"2023-06-08","Harleyville","SC","29448","Wayne","NJ","07470","700","[{""id"":""0"",""year"":""1993"",""model"":""190"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""850""}]","1","1"
"2023-06-20","Dundalk","MD","21222","Lehigh Acres","FL","33976","550","[{""id"":""0"",""year"":""2009"",""model"":""Enclave"",""make"":""Buick"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""650""}]","1","1"
"2023-05-29","Colorado Springs","CO","80918","Jacksonville","FL","32218","800","[{""id"":""0"",""year"":""2008"",""model"":""Wrangler 2 Door"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""170"",""total"":""970""}]","1","1"
"2023-06-16","San Jose","CA","95103","Farmington","MI","48335","2200","[{""id"":""0"",""year"":""2020"",""model"":""Transit Van"",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""2450""}]","1","1"
"2023-06-06","PLACENTIA","CA","92870","Central Point","OR","97502","600","[{""id"":""0"",""year"":""2015"",""model"":""Acura"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""550""}]","1","1"
"2023-05-26","Cape May","NJ","08204","Keysville","VA","23947","500","[{""id"":""0"",""year"":""2007"",""model"":""Focus"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""145""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Crosstrek"",""make"":""subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""300"",""id"":""12b091d9_f82a_80c0_8bda_34f6bd5d6c46""}]","1","1"
"2023-06-12","Daytona Beach","FL","32119","Clarklake","MI","49234","800","[{""id"":""0"",""year"":""2002"",""model"":""Town Car"",""make"":""Lincoln"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""1050""}]","1","1"
