"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-08-14","Othello","WA","99344","APPLE VALLEY","CA","92307","750","[{""id"":""0"",""year"":""2010"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""800""}]","1","1"
"2023-08-15","Matteson","IL","60443","Houston","TX","77019","475","[{""id"":""0"",""year"":""2009"",""model"":""Avenger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""625""}]","1","1"
"2023-08-18","Oceanside","CA","92058","Neptune","NJ","07753","1225","[{""id"":""0"",""year"":""2012"",""model"":""G37"",""make"":""Infiniti"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1250""}]","1","1"
"2023-08-26","Corpus Christi","TX","78415","Austin","TX","78745","400","[{""id"":""0"",""year"":""2015"",""model"":""Discovery"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""475"",""vin"":""SALCR2BG3FH501413""}]","1","1"
"2023-08-26","Columbia","MO","65201","Shawnee","KS","66203","225","[{""id"":""0"",""year"":""2007"",""model"":""S 550"",""make"":""Mercedes-benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""325""}]","1","1"
"2023-08-22","Houston","TX","77088","HAMPTON","GA","30228","350","[{""id"":""0"",""year"":""2014"",""model"":""250"",""make"":""Mercedes-benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450""}]","1","1"
"2023-09-07","Erlanger","KY","41018","Providence","RI","02904","600","[{""id"":""0"",""year"":""2005"",""model"":""Sierra 1500"",""make"":""Gmc"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""625""}]","1","1"
"2023-09-05","Clarks Summit","PA","18411","Maricopa","AZ","85138","1300","[{""id"":""0"",""year"":""2019"",""model"":""BLAZER"",""make"":""CHEVROLET"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1225""}]","1","1"
"2023-08-23","Houston","TX","77092","BURLINGTON","VT","05401","1075","[{""id"":""0"",""year"":""2018"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1100""}]","1","1"
"2023-09-03","Niagara Falls","NY","14304","Norfolk","VA","23518","700","[{""id"":""0"",""year"":""1993"",""model"":""Chevette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""875""}]","1","1"
