"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-06-27","Rio Rico","AZ","85648","Corona","NY","11368","1300","[{""id"":""0"",""year"":""2014"",""model"":""Challenger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1400"",""color"":""BLACK""}]","1","1"
"2023-06-28","Willow Grove","PA","19090","Hardeeville","SC","29927","450","[{""id"":""0"",""year"":""2010"",""model"":""CL-Class"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""550""}]","1","1"
"2023-06-28","Richmond","VA","23222","Amarillo","TX","79106","950","[{""id"":""0"",""year"":""2023"",""model"":""Venue"",""make"":""HYUNDAI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1100"",""color"":""silver""}]","1","1"
"2023-06-22","West Palm Beach","FL","33403","Indianapolis","IN","46278","700","[{""id"":""0"",""year"":""2008"",""model"":""PASSAT"",""make"":""VOLKSWAGEN"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""800""}]","1","1"
"2023-06-23","NAPLES","FL","34108","MINNEAPOLIS","MN","55438","1100","[{""id"":""0"",""year"":""2023"",""model"":""X5"",""make"":""Bmw"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1300""}]","1","1"
"2023-06-19","Dunn","NC","28334","Chula Vista","CA","91910","1350","[{""id"":""0"",""year"":""2016"",""model"":""Gti"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1500"",""lot_number"":""55435533""}]","1","1"
"2023-06-23","Hilliard","OH","43026","Vacaville","CA","95688","1400","[{""id"":""0"",""year"":""2006"",""model"":""H2"",""make"":""Hummer"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1500"",""color"":""TAN""}]","1","1"
"2023-12-09","Hudson","CO","80642","West Palm Beach","FL","33409","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1050"",""id"":""2a0d4a08_6e18_d166_8180_a4e29a85d107""}]","1","1"
"2023-06-19","Sugar Land","TX","77498","Tracy","CA","95391","700","[{""id"":""0"",""year"":""2014"",""model"":""CIVIC"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""800""}]","1","1"
"2023-06-20","Atlanta","GA","30318","Upper Marlboro","MD","20774","450","[{""id"":""0"",""year"":""2010"",""model"":""3 SERIES"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""550"",""color"":""white""}]","1","1"
"2023-06-16","Tucson","AZ","85741","Avoca","MN","56114","1200","[{""id"":""0"",""year"":""2021"",""model"":""RAV4"",""make"":""TOYOTA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1400"",""color"":""WHITE""}]","1","1"
"2025-03-05","Arcadia","FL","34269","Miami","FL","33147","225","[{""plate"":"""",""plate_state_code"":"""",""vin"":""gate pass pin 75843"",""lot_number"":""42444985"",""color"":"""",""year"":""2022"",""model"":""Pacifica"",""make"":""Chrysler"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""150"",""total"":""450"",""id"":""433ad79b_8b2a_2348_069a_d4c19e83dfdb""}]","1","1"
"2023-06-15","Albuquerque","NM","87120","Fort Worth","TX","76118","425","[{""id"":""0"",""year"":""2004"",""model"":""CAMRY"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""500""}]","1","1"
"2023-06-14","San Jose","CA","95129","Basking Ridge","NJ","07920","1250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":""white"",""year"":""2018"",""model"":""Fcx Clarity"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1350"",""id"":""b1e919cd_baec_f4bf_525a_bf6b8f5e1999""}]","1","1"
"2023-05-30","Littleton","CO","80125","New Orleans","LA","70116","800","[{""id"":""0"",""year"":""2017"",""model"":""6"",""make"":""Mazda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""900"",""color"":""white""}]","1","1"
"2023-05-23","Sarasota","FL","34239","Franklinton","NC","27525","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""slignshot "",""make"":""polaris"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""900"",""id"":""c228c14b_f0a2_1332_989e_cb2ecf9eb7c0""}]","2","1"
"2023-05-20","Bonita Springs","FL","34135","Danville","VA","24541","650","[{""id"":""0"",""year"":""2003"",""model"":""chopper"",""make"":""big dog "",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""800""}]","2","1"
"2023-05-23","Fairfax","VA","22031","Arlington","TX","76002","700","[{""id"":""0"",""year"":""2008"",""model"":""Sonata"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""800"",""color"":""blue""}]","1","1"
