"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2022-09-12","Mishawaka","IN","46544","Fontana","CA","92336","1050","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Camaro RS"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""330"",""total"":1380,""id"":""7bc1e347_d989_6f7c_0540_2ebd120c6bab""}]","1","1"
"2022-09-19","Miami","FL","33190","Jacksonville","FL","32254","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2004"",""model"":""CrownVictoria"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""170"",""total"":""420"",""id"":""8b39fd2d_946f_7666_3b48_283355d54891""}]","1","1"
"2022-09-16","Levittown","NY","11756","Fort Myers","FL","33908","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Ultra limited"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""350"",""total"":950,""id"":""87095f91_b301_6c24_9155_ae14f276145c""}]","2","1"
"2022-09-14","Leesburg","VA","20176","Mooresville","NC","28117","350","[{""id"":""0"",""year"":""2008"",""model"":""Cobalt"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""490"",""total"":""840""}]","1","1"
"2022-09-15","Los Gatos","CA","95032","Salt Lake City","UT","84103","900","[{""id"":""0"",""year"":""2020"",""model"":""Acadia"",""make"":""GMC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""280"",""total"":1180}]","1","1"
"2022-09-19","Tempe","AZ","85282","Justice","IL","60458","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Warrior"",""make"":""Yamaha"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""200"",""total"":950,""id"":""3b381e38_a281_4e72_30a8_beefdb86d9d0""}]","2","1"
"2022-09-19","Eureka","CA","95503","Providence","RI","02904","2200","[{""id"":""0"",""year"":""2009"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""2500""}]","1","1"
"2022-10-07","Minneapolis","MN","55444","Bedford","TX","76021","700","[{""id"":""0"",""year"":""2013"",""model"":""200"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""350"",""total"":1050}]","1","1"
"2022-05-19","Elizabeth","NJ","07208","Coral Gables","FL","33114","550","[{""id"":""0"",""year"":""2019"",""model"":""AMG C43 4matic Coupe"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""375"",""total"":""925""}]","1","1"
"2022-10-01","Mcminnville","TN","37110","Gunnison","UT","84634","2100","[{""id"":""0"",""year"":""2005"",""model"":""race car"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""350"",""total"":""2450""}]","2","0"
"2022-08-05","Racine","WI","53401","Fort Riley","KS","66442","750","[{""id"":""0"",""year"":""2012"",""model"":""Miata MX-5"",""make"":""Mazda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""145"",""total"":""895""}]","1","1"
"2022-07-21","Windsor Mill","MD","21244","Fort Lauderdale","FL","33314","500","[{""id"":""0"",""year"":""2017"",""model"":""Grand Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""225"",""total"":""725""}]","1","1"
"2022-09-27","Redmond","WA","98053","Wakefield","MA","01880","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Hypermotard 1100"",""make"":""Ducati"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1050"",""id"":""482c08f8_4e61_aa68_744a_9f8312bff379""}]","2","1"
"2022-09-23","Piscataway","NJ","08854","Tacoma","WA","98444","1550","[{""id"":""0"",""year"":""2021"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""1800""}]","1","1"
"2024-07-02","Redondo Beach","CA","90278","Heber City","UT","84032","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2003"",""model"":""mr2 spider"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""800"",""id"":""ab83d0d7_a8a1_84ea_a8f3_5ffaea2a2e2e""}]","1","1"
"2022-09-29","Boca Raton","FL","33498","Marietta","GA","30068","350","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""240i"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""600"",""id"":""9b5b7019_bda6_7f83_00ac_b75a51c1c930""}]","1","1"
"2022-07-27","San Diego","CA","92130","Hutto","TX","78634","1000","[{""id"":""0"",""year"":""2020"",""model"":""Bolt"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""1250""}]","1","1"
"2022-09-06","Ballston Spa","NY","12020","Las Vegas","NV","89147","1600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2007"",""model"":""Fusion SE"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""110"",""total"":1710,""id"":""691070f1_3172_26e8_a16d_5b342f5edd2b""}]","1","1"
"2022-10-11","Bremerton","WA","98310","Abilene","TX","79601","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1985"",""model"":""VF1100"",""make"":""Honda"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""200"",""total"":""900"",""id"":""5b9ae61b_7743_5ed8_afe8_5a8c80472899""}]","1","1"
"2022-06-10","Boca Raton","FL","33496","Oxford","MD","21654","1000","[{""id"":""0"",""year"":""2022"",""model"":""Model Y Performance AWD"",""make"":""Tesla"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1100""}]","1","1"
"2022-10-03","Brooklyn","NY","11224","Houston","TX","77069","1050","[{""id"":""0"",""year"":""2016"",""model"":""Rio"",""make"":""Kia"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""1300""}]","1","1"
"2022-08-08","Jacksonville","NC","28540","Fort Lauderdale","FL","33319","925","[{""id"":""0"",""year"":""2016"",""model"":""Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""125"",""total"":""1050""}]","1","1"
"2022-09-15","Hialeah","FL","33018","Fontana","CA","92335","950","[{""id"":""0"",""year"":""2022"",""model"":""Outlander"",""make"":""Mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""490"",""total"":1440}]","1","1"
"2022-09-24","Dallas","TX","75248","Tucson","AZ","85741","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""A4"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""390"",""total"":""990"",""id"":""4b2376c5_352f_9163_5574_a72fc62a504c""}]","1","0"
"2022-09-23","Wichita Falls","TX","76306","Austin","AR","72007","400","[{""id"":""0"",""year"":""2003"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""160"",""total"":560}]","1","1"
"2022-08-28","Conway","AR","72032","Antioch","TN","37013","700","[{""id"":""0"",""year"":""2010"",""model"":""F350"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""900""}]","1","0"
"2022-10-03","Springfield","MO","65807","Corinth","MS","38834","550","[{""id"":""0"",""year"":""2018"",""model"":""Traverse"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""180"",""total"":730}]","1","0"
"2023-06-01","Katy","TX","77493","Shelton","CT","06484","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""corolla"",""make"":""toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1000"",""id"":""7924b087_a836_e187_28a0_ed7dd64d1908""}]","1","1"
"2024-03-15","Manheim","PA","17545","Greenville","FL","32331","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""raptor"",""make"":""ford"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1350"",""id"":""284024ae_820d_b79d_8b1c_1879b4dc2733""}]","1","1"
"2024-10-03","Lyndhurst","NJ","07071","Venice","FL","34293","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""Bronco sport"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1175"",""id"":""65f18135_9475_d41f_fd9c_6ab91a3d2299""}]","1","1"
"2022-09-13","Salem","OR","97304","Norfolk","VA","23518","1250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Impreza"",""make"":""S"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""0"",""id"":""8037b2a8_7670_647d_38c7_73890b015480""}]","1","1"
"2022-09-14","Fort Wayne","IN","46806","Memphis","TN","38109","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2004"",""model"":""Corvette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""220"",""total"":""820"",""id"":""61530665_1899_80cc_c30d_02fb944926b7""}]","1","1"
"2023-01-25","Buford","GA","30518","Sunnyvale","CA","94087","1120","[{""id"":""0"",""year"":""2021"",""model"":""Rogue"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1320""}]","1","1"
"2022-06-18","North Hollywood","CA","91605","Tucker","GA","30084","1100","[{""id"":""0"",""year"":""2021"",""model"":""XV Crosstrek"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1300""}]","1","1"
"2022-09-15","Brooklyn","MI","49230","Saint Cloud","FL","34771","1400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2000"",""model"":""Wrangler 2 door"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""200"",""total"":""925"",""id"":""a5579352_426d_cd7b_99da_cf18a54e648d""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2007"",""model"":""Taurus"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""875"",""id"":""912e0efe_d858_b513_daaa_9915a6a5b77b""}]","1","1"
"2023-10-21","Spring","TX","77379","Pensacola","FL","32507","350","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1997"",""model"":""JX8"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""750"",""id"":""a2526af3_0260_3fce_2626_19effbe038a2""}]","1","1"
"2022-11-28","Detroit","MI","48219","Washington","DC","20011","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1973"",""model"":""FX 1200"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""225"",""total"":""725"",""id"":""da7a2d23_2003_4ca2_8db5_bd93c6c1ff7a""}]","1","1"
"2022-10-28","Fort Bragg","NC","28307","Citrus Heights","CA","95610","1250","[{""id"":""0"",""year"":""2005"",""model"":""xB"",""make"":""Scion"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""1500""}]","1","1"
"2022-10-03","Bristol","TN","37620","Unionville","CT","06085","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""crossfire"",""make"":""chrysler"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""180"",""total"":""730"",""id"":""50f77225_7df2_7f9f_f8b5_2d6c29d8b691""}]","1","1"
"2024-04-25","Fort Lauderdale","FL","33305","Winchester","MA","01890","925","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""s580"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1050"",""id"":""034d743b_f841_a3cc_c838_898651869e93""}]","1","1"
"2022-11-07","Mesa","AZ","85210","Fayetteville","GA","30214","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1971"",""model"":""Impala"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""475"",""total"":""1475"",""id"":""778b0106_571f_8f2e_9dac_7441f8b80ad7""}]","1","0"
"2022-10-24","Rush","NY","14543","Salt Lake City","UT","84108","1150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Versa"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1350"",""id"":""b8e634d0_e322_ed19_7464_7528bab8e663""}]","1","1"
"2022-10-17","Elko","NV","89801","San Diego","CA","92113","1500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2020"",""model"":""street bobber"",""make"":""harley"",""type"":""Motorcycle"",""recommended_price"":""0"",""deposit"":""500"",""total"":""2000"",""id"":""7a665156_092d_7ecf_bb5d_68e62c400165""}]","1","1"
"2022-10-26","Santa Monica","CA","90403","North Miami Beach","FL","33160","1100","[{""id"":""0"",""year"":""2020"",""model"":""X5"",""make"":""BMW"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""220"",""total"":""1320""}]","1","1"
"2022-06-23","Miami","FL","33145","Sierra Vista","AZ","85635","1000","[{""id"":""0"",""year"":""2020"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""1250""}]","1","1"
"2024-07-06","Bluffton","SC","29910","Hudson","OH","44236","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1980"",""model"":""G250"",""make"":""Mercedes Benz"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1100"",""id"":""32f20b5e_6d70_55c7_2210_753321b12866""}]","2","1"
"2024-07-18","Bradenton","FL","34202","Pocasset","MA","02559","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Pilot"",""make"":""Honda"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1200"",""id"":""5eeef769_8002_9ad3_3856_a36f54ae8b3b""}]","1","1"
"2024-07-13","Douglasville","GA","30135","Miami Gardens","FL","33056","300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Encalve"",""make"":""buick"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""550"",""id"":""2d04353b_f00e_5492_efbb_70e6eac546d1""}]","1","1"
"2024-07-17","Downs","IL","61736","Ashburn","VA","20147","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1981"",""model"":""deville"",""make"":""cadillac "",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""600"",""id"":""e2381c33_42d7_bea3_fc51_eb79b2b056c7""}]","1","1"
"2024-07-19","Phoenix","AZ","85043","Knoxville","TN","37915","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""g35"",""make"":""Infiniti"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1200"",""id"":""20c386c7_3729_3d74_6d11_17c0efe9b43a""}]","1","1"
"2024-07-05","Humble","TX","77396","Albany","NY","12206","975","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""XF portfolio"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1300"",""id"":""a9d71763_1939_4a38_a2dd_e108444b580c""}]","1","1"
"2025-02-06","Yakima","WA","98908","Indio","CA","92203","875","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2013"",""model"":""Jetta"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1100"",""id"":""09593888_bd7b_a2b2_9b68_c4432c429b90""}]","1","1"
"2024-07-11","Humboldt","NE","68376","Los Lunas","NM","87031","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1994"",""model"":""Silverado"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1200"",""id"":""f473c3d5_b3da_b12b_e206_1fca68f3caed""}]","1","0"
"2024-07-20","Manchester Township","NJ","08759","Glendale","CA","91203","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""Telluride"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1550"",""id"":""ec04dc35_c714_d181_a9c8_ab5c3dd71a9a""}]","1","1"
"2024-07-25","Atlanta","GA","30328","Columbus","OH","43224","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""725"",""id"":""f28d9010_b8c6_dc2e_5f91_f7e9f3cf3e14""}]","1","1"
"2022-09-20","Fairfield","CA","94533","Houma","LA","70360","1450","[{""id"":""0"",""year"":""2003"",""model"":""Venture"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1750""}]","1","1"
"2022-10-10","Kissimmee","FL","34758","Elkridge","MD","21075","540","[{""id"":""0"",""year"":""2008"",""model"":""Tahoe"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":840}]","1","0"
"2022-10-10","Little Elm","TX","75068","Las Vegas","NV","89103","675","[{""id"":""0"",""year"":""2016"",""model"":""Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""285"",""total"":960}]","1","1"
"2022-10-09","Lawrenceville","GA","30042","Franklin","NC","28734","300","[{""id"":""0"",""year"":""2015"",""model"":""1500"",""make"":""RAM"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""500"",""vin"":""781570"",""color"":""black""}]","1","1"
"2022-10-06","York Haven","PA","17370","Little Falls","NJ","07424","225","[{""id"":""0"",""year"":""2002"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""125"",""total"":""350"",""vin"":""203622"",""lot_number"":""53614022"",""color"":""gold""}]","1","1"
"2022-10-13","Clovis","CA","93611","Vista","CA","92083","390","[{""id"":""0"",""year"":""1991"",""model"":""Wrangler"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":640}]","1","1"
"2022-10-13","Tupelo","MS","38801","Douglasville","GA","30134","250","[{""id"":""0"",""year"":""2014"",""model"":""Passat"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""500""}]","1","1"
"2022-11-08","Stafford","VA","22556","Hanover","MA","02339","350","[{""id"":""0"",""year"":""2002"",""model"":""Grand Caravan"",""make"":""Dodge"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""600""}]","1","1"
"2022-08-29","Coconut Creek","FL","33063","Los Angeles","CA","90001","1300","[{""id"":""0"",""year"":""2017"",""model"":""Range Rover"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""340"",""total"":""1640""}]","1","1"
