"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-10-19","Evansville","IN","47714","San Luis","AZ","85349","900","[{""id"":""0"",""year"":""2014"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""1075.00""}]","1","1"
"2024-09-23","Olivia","MN","56277","Hampshire","IL","60140","450","[{""id"":""0"",""year"":""2021"",""model"":""Carryall 100"",""make"":""Club Car"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""650.00""}]","2","1"
"2024-10-28","Opa Locka","FL","33054","Tampa","FL","33613","150","[{""id"":""0"",""year"":""2012"",""model"":""S60"",""make"":""Volvo"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""250.00""}]","1","0"
"2024-08-23","North Billerica","MA","01862","Hialeah","FL","33013","1200","[{""id"":""0"",""year"":""2005"",""model"":""H2"",""make"":""Hummer"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1500""}]","1","1"
"2024-09-26","Saint George","UT","84790","Bellflower","CA","90706","450.00","[{""id"":""0"",""year"":""2012"",""model"":""Forester"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""120.00"",""total"":""570.00""}]","1","0"
"2024-10-17","Midway","FL","32343","Charlotte","NC","28227","450","[{""id"":""0"",""year"":""2015"",""model"":""XJ"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""225"",""total"":""675.00"",""lot_number"":""69972394"",""vin"":""SAJWA1CZ1F8V89918""}]","2","1"
"2024-10-03","Chattanooga","TN","37405","Gainesville","GA","30501","220","[{""id"":""0"",""year"":""2014"",""model"":""Maxima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""110.00"",""total"":""330.00""}]","1","1"
"2025-01-08","Malaga","WA","98828","Goodyear","AZ","85395","1250","[{""id"":""0"",""year"":""2023"",""model"":""Acadia Limited"",""make"":""GMC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1550.00""}]","2","1"
"2024-11-02","Las Vegas","NV","89148","Pembroke Pines","FL","33028","600","[{""id"":""0"",""year"":""2023"",""model"":""Hawk 2"",""make"":""Liyan"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""170"",""total"":""770.00""}]","1","1"
"2024-11-06","Rusk","TX","75785","Durham","NC","27704","420","[{""id"":""0"",""year"":""2018"",""model"":""Sprint 150"",""make"":""Vespa"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""570.00"",""vin"":""ZAPM818G7J5701297""}]","1","1"
"2024-10-30","Colorado Springs","CO","80919","Chandler","AZ","85226","800","[{""id"":""0"",""year"":""2012"",""model"":""Street Glide"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""195"",""total"":""595.00""},{""id"":""1"",""year"":""2013"",""model"":""Ninja"",""make"":""Kawasaki"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""195"",""total"":""595.00""}]","2","1"
"2024-12-03","Murrieta","CA","92563","Fort Worth","TX","76126","600","[{""id"":""0"",""year"":""2023"",""model"":""S2"",""make"":""livewire"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""750.00""}]","2","1"
"2024-11-13","Newnan","GA","30263","Foley","MO","63347","550","[{""id"":""0"",""year"":""2014"",""model"":""IHI AS12"",""make"":""Mini Skid Steer"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""700.00""}]","1","1"
"2024-10-16","Cary","NC","27519","Dallas","TX","75252","500","[{""id"":""0"",""year"":""2022"",""model"":""Elantra"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650.00""}]","1","1"
"2024-11-05","Tanner","AL","35671","Jacksonville","FL","32208","650","[{""id"":""0"",""year"":""2018"",""model"":""Fx svho waverunner"",""make"":""Yamaha"",""type"":""Boat"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""800.00"",""lot_number"":""66165364""}]","1","1"
"2024-11-21","Cambridge","MD","21613","Lakeland","FL","33811","450","[{""id"":""0"",""year"":""2014"",""model"":""1200 rt"",""make"":""bmw"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""600.00""}]","2","1"
"2025-01-06","Saint Paul","MN","55109","Auburn","MI","48611","900","[{""id"":""0"",""year"":""2024"",""model"":""EXT"",""make"":""Wilcraft"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1200""}]","2","1"
