"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2018-08-07","Pembroke Pines","FL","33027","Easton","PA","18040"," 700.00","","1","1"
"2018-08-04","Clifton Park","NY","12065","Teaneck","NJ","07666"," 300.00","","1","1"
"2018-08-06","Glendale","CA","","Fairlawn","NJ","07410"," 1900.00","","1","1"
"2018-08-04","Teaneck","NJ","07666","Chino","CA","91710"," 1250.00","","1","1"
"2018-08-05","Middletown","NJ","07748","Punta Gorda","FL","33983"," 925.00","","1","1"
"2018-09-11","Saint Charles","IL","60175","Phoenix","AZ","85050"," 900.00","","1","1"
"2018-08-04","Far Rockaway","NY","11691","Teaneck","NJ","07666"," 250.00","","1","1"
"2018-08-04","Teaneck","NJ","07666","San Diego","CA","92126"," 1250.00","","1","1"
"2018-08-04","Springfield Gardens","NY","11413","Teaneck","NJ","07666"," 250.00","","1","1"
"2018-08-06","Seattle","WA","98198","Whittier","CA","90606"," 1250.00","","1","1"
"2018-08-09","Teaneck","NJ","07666","Everett","WA","98204"," 1500.00","","1","1"
"2018-08-03","Colorado Springs","CO","80919","Houston","TX","77007"," 750.00","","1","1"
"2018-08-23","Teaneck","NJ","07666","Atlanta","GA","30322"," 725.00","","1","1"
"2018-08-07","Philadelphia","PA","19154","Pittsburgh","PA","15232"," 375.00","","1","1"
"2018-08-10","Piscataway","NJ","08854","Bellevue","WA","98004"," 1375.00","","1","1"
"2018-08-03","Atherton","CA","94027","Durham","NC","27705"," 1750.00","","1","1"
"2019-01-03","Greenwich","CT","06830","Naples","FL","34108"," 1100.00","","1","1"
"2018-08-03","San Antonio","TX","78228","Teaneck","NJ","07666"," 800.00","","1","1"
"2018-08-25","Union Beach","NJ","07735","Palm Bay","FL","32908"," 700.00","","1","1"
"2018-08-25","Union Beach","NJ","07735","Palm Bay","FL","32908"," 2650.00","","1","1"
"2018-08-23","Freehold","NJ","07728","Fort Myers","FL","33919"," 1500.00","","1","1"
"2018-08-08","Fort Worth","TX","76116","Newport Beach","CA","92660"," 750.00","","1","1"
"2018-08-03","San Antonio","TX","78213","Plainfield","IL","60586"," 800.00","","1","1"
"2018-09-27","Ocean Grove","NJ","07756","Delray Beach","FL","33483"," 800.00","","1","1"
"2018-08-06","Jupiter","FL","33458","Flushing","NY","11358"," 700.00","","1","1"
"2018-08-13","Maricopa","AZ","85139","Irvington","NJ","07111"," 2000.00","","1","1"
"2018-08-06","North Aurora","IL","60542","Tempe","AZ","85281"," 850.00","","1","1"
"2018-08-02","Bonham","TX","75418","Hampton","NH","03842"," 1100.00","","1","1"
"2018-08-02","Teaneck","NJ","07666","Mountain View","CA","94041"," 1350.00","","1","1"
"2018-08-02","Plano","TX","75024","Princeton","NJ","08540"," 700.00","","1","1"
"2018-08-06","Burien","WA","98168","Missouri City","TX","77459"," 1200.00","","1","1"
"2018-08-02","Naperville","IL","60540","Fort Worth","TX","76116"," 800.00","","1","1"
"2018-08-06","Liberty Corner","NJ","07938","Lake","Saint","MO"," 800.00","","1","1"
"2018-08-29","Orlando","FL","32828","Fort Collins","CO","80521"," 1075.00","","1","1"
"2018-08-02","Brick","NJ","08723","Napoleon","OH","43545"," 750.00","","1","1"
"2018-10-15","Brookfield","WI","53045","Naples","FL","34110"," 900.00","","1","1"
"2018-08-21","Peoria","AZ","85383","Bethpage","NY","11714"," 1275.00","","1","1"
"2018-08-07","Annandale","VA","22003","Portland","OR","97230"," 1600.00","","1","1"
"2018-10-25","New Vernon","NJ","07976","Boca Raton","FL","33432"," 2300.00","","1","1"
"2018-08-09","Tallahassee","FL","32308","Fort Worth","TX","76129"," 875.00","","1","1"
"2018-08-16","Ontario","CA","91761","Ontario","CA","91761"," 100.00","","1","1"
"2018-08-03","Port Royal","PA","17082","Philadelphia","PA","19154"," 300.00","","1","1"
"2018-08-08","Ontario","CA","91761","Wheeling","IL","60090"," 900.00","","1","1"
"2018-07-31","Redmond","WA","98052","Lake Forest","IL","60045"," 1000.00","","1","1"
"2018-09-03","Ventnor City","NJ","08406","Boynton Beach","FL","33472"," 900.00","","1","1"
"2018-08-03","Vero Beach","FL","32962","Milltown","NJ","08850"," 650.00","","1","1"
"2018-08-10","McKinney","TX","75070","Miami","FL","33156"," 600.00","","1","1"
"2018-08-08","South","Bound","NJ","delray beach","FL","33446"," 1100.00","","1","1"
"2019-04-15","Deerfield Beach","FL","33441","New Albany","OH","43054"," 900.00","","1","1"
"2018-08-07","La Canada","CA","91011","chicago","IL","60611"," 900.00","","1","1"
"2018-08-01","Nokesville","VA","20181","Homosassa","FL","34446"," 750.00","","1","1"
"2018-07-30","Atlanta","GA","30318","Bethlehem","PA","18020"," 675.00","","1","1"
"2018-07-30","Tacoma","WA","98409","Virginia Beach","VA","23456"," 1100.00","","1","1"
"2018-08-14","Henrico","VA","23233","Fort Worth","TX","76129"," 875.00","","1","1"
"2018-07-31","Woodland Hills","CA","91367","Mount Vernon","IL","62864"," 1500.00","","1","1"
"2018-07-30","Fairfield","CA","94534","Deerfield Beach","FL","33441"," 1350.00","","1","1"
"2018-08-07","Philadelphia","PA","19154","Mesa","AZ","85206"," 1100.00","","1","1"
"2018-08-02","Anaheim","CA","92805","Chicago","IL","60608"," 875.00","","1","1"
"2018-07-30","Saddle Brook","NJ","07663","Clearwater","FL","33765"," 1150.00","","1","1"
"2018-07-28","Saint Charles","IL","60175","Chandler","AZ","85248"," 1200.00","","1","1"
"2018-08-06","Philadelphia","PA","19154","Princeton","WV","24740"," 600.00","","1","1"
"2018-07-30","Chandler","AZ","85226","San Jose","CA","95129"," 650.00","","1","1"
"2018-07-28","Warrenville","IL","60555","Snohomish","WA","98296"," 1500.00","","1","1"
"2018-08-09","Dallas","TX","75231","Egg","Harbor","NJ"," 1400.00","","1","1"
"2018-08-01","Philadelphia","PA","19102","Fort Myers","FL","33901"," 750.00","","1","1"
"2018-08-03","Mt Zion","IL","62549","Rocklin","CA","95765"," 2600.00","","1","1"
"2018-07-30","Jersey City","NJ","07307","Peoria","AZ","85382"," 1250.00","","1","1"
"2018-07-30","Poulsbo","WA","98370","Roswell","GA","30076"," 1100.00","","1","1"
"2018-08-14","Seattle","WA","98115","Smyrna","GA","30080"," 1500.00","","1","1"
"2018-08-06","DENVER","CO","80239","Phoenix","AZ","85027"," 500.00","","1","1"
"2018-08-27","Colorado Springs","CO","80909","Hampton","VA","23669"," 750.00","","1","1"
"2018-08-13","Round Rock","TX","78665","Lakewood","CO","80228"," 800.00","","1","1"
"2018-07-27","Omaha","NE","68114","Libertyville","IL","60048"," 500.00","","1","1"
"2018-08-23","Monroe Twp","NJ","08831","Coconut Creek","FL","33066"," 750.00","","1","1"
"2018-07-27","Astoria","NY","11105","Teaneck","NJ","07666"," 400.00","","1","1"
"2018-07-27","Teaneck","NJ","07666","Kirkland","WA","98033"," 4000.00","","1","1"
"2018-11-17","West Boylston","MA","01583","Boynton Beach","FL","33437"," 900.00","","1","1"
"2018-07-27","Salt","Lake","UT","Lexington","KY","40515"," 1200.00","","1","1"
"2018-07-30","Woburn","MA","01801","Los Angeles","CA","90034"," 1900.00","","1","1"
"2018-07-25","Clifton","VA","20124","Keansburg","NJ","07734"," 450.00","","1","1"
"2018-07-28","Boulder","CO","80303","Athens","GA","30605"," 750.00","","1","1"
"2018-07-27","Woodland Hills","CA","91367","Tulsa","OK","74132"," 1350.00","","1","1"
"2018-08-07","Golden","CO","80403","Newport Beach","CA","92660"," 525.00","","1","1"
"2018-10-16","Lake Zurich","IL","60047","Surprise","AZ","85374"," 1900.00","","1","1"
"2018-07-26","Tacoma","WA","98422","Wawatosa","WI","53226"," 950.00","","1","1"
"2018-08-21","Whittier","CA","90601","Madison","NJ","07940"," 1000.00","","1","1"
"2018-08-30","houston","TX","77036","Philadelphia","PA","19114"," 600.00","","1","1"
"2018-07-26","DORAL","FL","33172","Teaneck","NJ","07666"," 900.00","","1","1"
"2018-07-25","Scottsdale","AZ","85266","Portland","OR","97266"," 850.00","","1","1"
"2018-09-28","Gilbert","AZ","85295","Elk Grove","CA","95757"," 475.00","","1","1"
"2018-07-26","Colorado Springs","CO","80917","Glendora","CA","91740"," 750.00","","1","1"
"2018-07-25","Douglas","AZ","85607","Phoenix","AZ","85022"," 600.00","","1","1"
"2018-07-27","Teaneck","NJ","07666","Providence","RI","02906"," 300.00","","1","1"
"2018-07-25","Cardiff By","The","CA","Nashville","TN","37204"," 1200.00","","1","1"
"2018-08-02","Lancaster","PA","17601","Phoenix","AZ","85085"," 1050.00","","1","1"
"2018-07-27","Bridgewater","NJ","08807","South Lyon","MI","48178"," 600.00","","1","1"
"2018-08-07","Potomac","MD","20854","Dallas","TX","75287"," 2000.00","","1","1"
"2018-07-23","Glen Mills","PA","19342","South Orleans","MA","02662"," 675.00","","1","1"
"2018-07-30","Amagansett","NY","11930","Phoenix","AZ","85018"," 1400.00","","1","1"
"2018-07-23","Califon","NJ","07830","Bensalem","PA","19020"," 200.00","","1","1"
"2018-07-22","Edison","NJ","08820","Venice","FL","34293"," 825.00","","1","1"
"2018-07-23","Teaneck","NJ","07666","Massapequa","NY","11758"," 250.00","","1","1"
"2018-08-09","Alamo","CA","94507","Fort Worth","TX","76109"," 1050.00","","1","1"
"2018-07-24","Scottsdale","AZ","85254","Davenport","FL","33896"," 875.00","","1","1"
"2018-07-23","Vidor","TX","77662","Seminole","TX","79360"," 1100.00","","1","1"
"2018-08-20","Studio City","CA","91604","New Haven","CT","06510"," 1250.00","","1","1"
"2018-07-24","Winslow","AZ","86047","Phoenix","AZ","85085"," 300.00","","1","1"
"2018-07-21","Scottsdale","AZ","85259","Phoenix","AZ","85085"," 100.00","","1","1"
"2018-07-21","Scottsdale","AZ","85259","Teaneck","NJ","07666"," 1050.00","","1","1"
"2018-08-30","Millbury","MA","01527","Cocoa Beach","FL","32931"," 850.00","","1","1"
"2018-08-06","Morris Plains","NJ","07950","Plano","TX","75025"," 1000.00","","1","1"
"2018-07-20","Phoenix","AZ","85085","Crozet","VA","22932"," 1200.00","","1","1"
"2018-07-27","Humble","TX","77396","Cando","ND","58324"," 1750.00","","1","1"
"2018-07-21","Deptford","NJ","08096","Silverdale","WA","98383"," 2550.00","","1","1"
"2018-07-25","Los Gatos","CA","95030","Ridgefield","WA","98642"," 825.00","","1","1"
"2018-07-20","Woodland Hills","CA","91367","Bourbonnais","IL","60914"," 1100.00","","1","1"
"2018-07-20","McChord AFB","WA","98439","Harvey","LA","70058"," 1075.00","","1","1"
"2018-10-29","Clifton","NJ","07013","Scottsdale","AZ","85254"," 1000.00","","1","1"
"2018-07-23","Kinnelon","NJ","07405","Tampa","FL","33611"," 800.00","","1","1"
"2018-07-23","Los Angeles","CA","90019","Fort Lauderdale","FL","33311"," 900.00","","1","1"
"2018-07-19","Spokane","WA","99212","Elkhorn","WI","53121"," 1000.00","","1","1"
"2018-07-22","Seattle","WA","98105","Blaine","MN","55434"," 750.00","","1","1"
"2018-07-19","Redmond","WA","98052","Phoenix","AZ","85044"," 850.00","","1","1"
"2018-07-19","Port Chester","NY","10573","Teaneck","NJ","07666"," 200.00","","1","1"
"2018-08-06","Holt","MI","48842","Pasadena","TX","77502"," 1100.00","","1","1"
"2018-09-15","Palisades Park","NJ","07650","Delray Beach","FL","33483"," 1750.00","","1","1"
"2018-07-23","Teaneck","NJ","07666","Portland","OR","97206"," 1700.00","","1","1"
"2018-08-14","Passaic","NJ","07055","Los Angeles","CA","90036"," 1300.00","","1","1"
"2018-09-18","Northbrook","IL","60062","Scottsdale","AZ","85255"," 850.00","","1","1"
"2018-07-31","Scottsdale","AZ","85260","Fredonia","NY","14063"," 1200.00","","1","1"
"2018-07-19","Teaneck","NJ","07666","Pacific Palisades","CA","90272"," 1250.00","","1","1"
"2018-08-30","Ortley Beach","NJ","08751","Savannah","GA","31406"," 875.00","","1","1"
"2018-08-07","Kinnelon","NJ","07405","Wilmington","NC","28405"," 700.00","","1","1"
"2018-07-18","Kirkland","WA","98033","Pooler","GA","31322"," 1150.00","","1","1"
"2018-07-17","Tacoma","WA","98409","Andrews","SC","29510"," 1075.00","","1","1"
"2018-07-25","Jerome","ID","83338","Schaumburg","IL","60173"," 1400.00","","1","1"
"2018-07-20","Schaumburg","IL","60173","Jerome","ID","83338"," 2800.00","","1","1"
"2018-07-18","Sterling","MA","01564","Bluffton","SC","29909"," 750.00","","1","1"
"2018-07-17","Scottsdale","AZ","85260","Batavia","OH","45103"," 1600.00","","1","1"
"2018-08-07","Weehawken","NJ","07086","Newport Beach","CA","92663"," 1200.00","","1","1"
"2018-08-27","Park City","UT","84098","Davie","FL","33328"," 1300.00","","1","1"
"2018-07-17","Tacoma","WA","98433","Fort Smith","AR","72904"," 1050.00","","1","1"
"2018-07-17","West","Palm","FL","Huntington Beach","CA","92647"," 1200.00","","1","1"
"2018-07-17","Riverhead","NY","11901","Chandler","AZ","85225"," 1350.00","","1","1"
"2018-08-06","Elizabeth","NJ","07208","Boca Raton","FL","33432"," 775.00","","1","1"
"2018-07-18","Saugus","MA","01906","Arvada","CO","80004"," 1150.00","","1","1"
"2018-07-26","Seattle","WA","98122","Philadelphia","PA","19154"," 1200.00","","1","1"
"2018-07-21","Phoenix","AZ","85016","Oreland","PA","19075"," 1000.00","","1","1"
"2018-07-24","Highlands Ranch","CO","80129","Bridgeport","CT","06604"," 800.00","","1","1"
"2018-07-16","Somerdale","NJ","08083","Fullerton","CA","92831"," 1250.00","","1","1"
"2018-07-17","Wimauma","FL","33598","Perth Amboy","NJ","08861"," 900.00","","1","1"
"2018-09-25","Amherst","MA","01002","The Plains","VA","20198"," 700.00","","1","1"
"2018-07-16","Bloomfield","NJ","07003","Miami","FL","33166"," 650.00","","1","1"
"2018-07-14","Chicago","IL","60661","Seattle","WA","98122"," 2000.00","","1","1"
"2018-07-17","Suwanee","GA","30024","Irvine","CA","92618"," 900.00","","1","1"
"2018-08-28","Westport","CT","06880","Highland Park","IL","60035"," 2500.00","","1","1"
"2018-07-16","Jupiter","FL","33477","Ridgefield Park","NJ","07660"," 650.00","","1","1"
"2018-07-16","Weehawken","NJ","07086","Pompano Beach","FL","33062"," 650.00","","1","1"
"2018-07-16","Clearwater","FL","33760","Canton","MS","39046"," 850.00","","1","1"
"2018-07-19","High Point","NC","27260","Bellingham","WA","98225"," 1325.00","","1","1"
"2018-07-12","Teaneck","NJ","07666","Leland","NC","28451"," 700.00","","1","1"
"2018-07-13","Scotts Valley","CA","95066","Las Vegas","NV","89115"," 750.00","","1","1"
"2018-07-18","Keizer","OR","97303","New Braunfels","TX","78132"," 1550.00","","1","1"
"2018-07-16","Bonham","TX","75418","Knoxville","TN","37914"," 875.00","","1","1"
"2018-08-09","Worcester","MA","01605","Gilbert","AZ","85297"," 1350.00","","1","1"
"2018-07-23","Fair Lawn","NJ","07410","New Braunfels","TX","78130"," 1000.00","","1","1"
"2018-07-28","Scottsdale","AZ","85251","seatac","WA","98188"," 925.00","","1","1"
"2018-07-21","New Orleans","LA","70130","Teaneck","NJ","07666"," 950.00","","1","1"
"2018-07-20","Phoenix","AZ","85008","Salado","TX","76571"," 900.00","","1","1"
"2018-07-11","Jerseyville","IL","62052","Highland Park","MI","48203"," 1000.00","","1","1"
"2018-07-14","Hilbert","WI","54129","Oceanside","NY","11572"," 1700.00","","1","1"
"2018-08-06","Denver","CO","80211","Columbus","GA","31904"," 850.00","","1","1"
"2018-07-11","Catonsville","MD","21228","Tucson","AZ","85741"," 1250.00","","1","1"
"2018-07-11","Florence","MT","59833","Conroe","TX","77304"," 1000.00","","1","1"
"2018-08-27","Studio City","CA","91604","Pine Bush","NY","12566"," 1700.00","","1","1"
"2018-10-05","Englishtown","NJ","07726","Boynton Beach","FL","33436"," 800.00","","1","1"
"2018-07-16","Longmeadow","MA","01106","Bradenton","FL","34203"," 750.00","","1","1"
"2018-07-10","Kingman","AZ","86409","Sterling","VA","20164"," 1700.00","","1","1"
"2018-07-11","Rio Rico","AZ","85648","Queen Creek","AZ","85142"," 300.00","","1","1"
"2018-07-12","Philadelphia","PA","19154","Green Valley","AZ","85622"," 1000.00","","1","1"
"2018-07-11","Woodland Hills","CA","91367","Winthrop Harbor","IL","60096"," 1200.00","","1","1"
"2018-07-10","Seal Beach","CA","90740","Minneapolis","MN","55448"," 1575.00","","1","1"
"2018-07-11","Brooklyn","NY","11236","Atlanta","GA",""," 1400.00","","1","1"
"2018-07-10","Queen Creek","AZ","85142","Yakima","WA","98908"," 1400.00","","1","1"
"2018-07-12","Littleton","MA","01460","Denver","CO","80209"," 1100.00","","1","1"
"2018-07-11","Twentynine Palms","CA","92277","Ontario","CA","91761"," 300.00","","1","1"
"2018-07-16","Phoenix","AZ","85027","Charlotte","NC","28262"," 1100.00","","1","1"
"2018-07-16","Bolingbrook","IL","60440","Charlotte","NC","28278"," 800.00","","1","1"
"2018-07-09","Manchester","MA","01944","Teaneck","NJ","07666"," 500.00","","1","1"
"2018-07-10","Teaneck","NJ","07666","San Francisco","CA","94110"," 1500.00","","1","1"
"2018-07-09","Englewood","CO","80110","Harvey","LA","70058"," 1100.00","","1","1"
"2018-07-10","Ontario","CA","91761","Powell","OH","43065"," 1000.00","","1","1"
"2018-07-27","Richmond","TX","77406","Fort Lauderdale","FL","33317"," 550.00","","1","1"
"2018-07-07","Stafford","VA","22556","Lawndale","CA","90260"," 1400.00","","1","1"
"2018-07-09","Queen Creek","AZ","85142","Yuma","AZ","85364"," 400.00","","1","1"
"2018-07-10","Schaumburg","IL","60194","Carlsbad","CA","92011"," 1900.00","","1","1"
"2018-07-13","Phoenix","AZ","85008","Warren","MI","48093"," 1400.00","","1","1"
"2018-07-06","Washougal","WA","98671","Belton","TX","76513"," 1250.00","","1","1"
"2018-07-10","Florence","MT","59833","Conroe","TX","77304"," 3300.00","","1","1"
