"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-03-13","West Mifflin","PA","15122","Houston","TX","77037","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":""PIN71329"",""lot_number"":""44512605"",""color"":"""",""year"":""2019"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1100"",""id"":""6606d923_2a7c_a5f1_d1b4_4c41010d8bf9""}]","1","1"
"2025-03-14","Ebensburg","PA","15931","Houston","TX","77037","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":""PIN59254"",""lot_number"":""41973015"",""color"":"""",""year"":""2021"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1100"",""id"":""f5e4dbe1_0b58_2c33_d058_13be46bbe24a""}]","1","1"
"2025-03-14","Chicago","IL","60644","Waterford","MI","48328","650","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2024"",""model"":""Platforms"",""make"":""Scaffolding "",""type"":""Other"",""recommended_price"":""0"",""deposit"":""0"",""total"":""650"",""id"":""810bfbdd_4661_704d_dde6_b069efc44a1f""}]","1","1"
"2025-04-03","Duryea","PA","18642","Houston","TX","77039","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":""PIN74337"",""lot_number"":""48166295"",""color"":"""",""year"":""2021"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1200"",""id"":""f5e4dbe1_0b58_2c33_d058_13be46bbe24a""}]","1","1"
"2024-12-02","Zolfo Springs","FL","33890","Forkland","AL","36740","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2024"",""model"":""Industrial Materials"",""make"":""Pipes"",""type"":""Other"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1250"",""id"":""810bfbdd_4661_704d_dde6_b069efc44a1f""}]","1","1"
"2025-03-12","Angola","NY","14006","Houston","TX","77037","1150","[{""plate"":"""",""plate_state_code"":"""",""vin"":""pin60251"",""lot_number"":""43525495"",""color"":"""",""year"":""2022"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1250"",""id"":""f5e4dbe1_0b58_2c33_d058_13be46bbe24a""}]","1","1"
"2025-03-14","Albuquerque","NM","87105","Houston","TX","77039","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":""PIN42180"",""lot_number"":""82154784"",""color"":"""",""year"":""2023"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""600"",""id"":""f5e4dbe1_0b58_2c33_d058_13be46bbe24a""}]","1","1"
"2025-04-01","Greenwood","NE","68366","Houston","TX","77039","650","[{""plate"":"""",""plate_state_code"":"""",""vin"":""PIN91228"",""lot_number"":""43945465"",""color"":"""",""year"":""2022"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""750"",""id"":""f5e4dbe1_0b58_2c33_d058_13be46bbe24a""}]","1","1"
"2024-01-11","Finksburg","MD","21048","Forest Hills","NY","11375","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""73917613"",""color"":"""",""year"":""2022"",""model"":""Transit "",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""0"",""total"":""500"",""id"":""b13495ce_f877_348c_9fc7_3338e20229c6""}]","1","1"
"2025-01-28","West Chester","OH","45069","Houston","TX","77093","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":""Buyer467034"",""lot_number"":""40696027"",""color"":"""",""year"":""2020"",""model"":""Ilx"",""make"":""Acura"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""850"",""id"":""6606d923_2a7c_a5f1_d1b4_4c41010d8bf9""}]","1","1"
