"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-08-03","Bentonville","AR","72713","Cypress","TX","77429","350","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Xa"",""make"":""Scion"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""500"",""id"":""65cc01eb_ffc7_0603_55bd_4185a13ade57""}]","1","1"
"2024-12-18","Kalispell","MT","59901","Minot","ND","58703","600","[{""id"":""0"",""year"":""1996"",""model"":""Impreza"",""make"":""Subaru"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""750""}]","1","1"
"2024-08-19","Ronkonkoma","NY","11779","Davenport","FL","33897","800","[{""id"":""0"",""year"":""1998"",""model"":""Corvette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""900""}]","1","1"
"2024-08-13","Brighton","CO","80603","Baltimore","MD","21205","900","[{""id"":""0"",""year"":""2024"",""model"":""Malibu"",""make"":""chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1000""}]","1","1"
"2024-09-19","Salt Lake City","UT","84116","Las Vegas","NV","89102","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""crew cab"",""make"":""Ram"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""0"",""total"":""400"",""id"":""6886554a_2fe5_72d3_5428_3564b83efe8f""}]","1","1"
"2024-08-09","Newark","NJ","07108","Dallas","TX","75243","750","[{""id"":""0"",""year"":""2004"",""model"":""RX 330"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""800""}]","1","1"
"2024-09-14","Spring","TX","77380","San Jose","CA","95127","650","[{""id"":""0"",""year"":""2019"",""model"":""Cayenne"",""make"":""Porsche"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""850""}]","1","1"
"2024-09-28","Columbus","OH","43232","Omaha","NE","68116","600","[{""id"":""0"",""year"":""2015"",""model"":""Highlander"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""700""}]","1","1"
"2024-09-10","Jacksonville","FL","32202","Hillsborough Township","NJ","08844","400","[{""id"":""0"",""year"":""2023"",""model"":""Grand Cherokee"",""make"":""jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
"2023-10-14","Ruston","LA","71270","Fulton","NY","13069","850","[{""id"":""0"",""year"":""1966"",""model"":""Coronet"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""950""}]","2","1"
"2024-07-06","Dublin","CA","94568","Birmingham","AL","35214","1100","[{""id"":""0"",""year"":""2011"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1250""}]","1","1"
