"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-08-19","Edwards","CO","81632","Irving","TX","75060","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""F-150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""42e236c3_136a_6873_9369_aa6741d08194""}]","1","1"
"2023-08-22","CHARLOTTE","NC","28202","SAN DIEGO","CA","92122","1000","[{""id"":""0"",""year"":""2022"",""model"":""MODEL 3"",""make"":""TESLA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1150""}]","1","1"
"2023-09-25","Grand Prairie","TX","75052","Phoenix","AZ","85021","350","[{""id"":""0"",""year"":""2007"",""model"":""Sorento"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""400""}]","1","1"
"2023-11-30","Derwood","MD","20855","Houston","TX","77045","700","[{""id"":""0"",""year"":""2016"",""model"":""ES"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""750""}]","1","1"
"2023-12-04","North Las Vegas","NV","89081","Teaneck","NJ","07666","820","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""250H"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""230"",""total"":""1050"",""id"":""e71cf173_2feb_3b16_da45_1c88493d1aa2""}]","1","1"
"2023-12-06","Coram","NY","11727","Port Saint Lucie","FL","34987","1250","[{""id"":""0"",""year"":""2014"",""model"":""Super sport"",""make"":""Boston whaler"",""type"":""Boat"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""1500""}]","1","0"
"2023-12-18","Chico","CA","95973","West Linn","OR","97068","450","[{""id"":""0"",""year"":""1992"",""model"":""968"",""make"":""Porsche"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""550""}]","1","1"
"2024-01-11","Arlington","MA","02476","Greenfield","MA","01301","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2009"",""model"":""Colorado Regular Cab"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""350"",""id"":""15e7c3cf_ddc3_a56d_2b56_829936e73b66""}]","1","0"
"2024-05-30","Miami","FL","33137","Chicago","IL","60611","1000","[{""id"":""0"",""year"":""2020"",""model"":""250Glb"",""make"":""Mercedes-Benz"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""185"",""total"":""1185""}]","1","1"
"2024-07-26","Beverly Hills","FL","34465","East Grand Forks","MN","56721","1000","[{""id"":""0"",""year"":""2007"",""model"":""Heritage"",""make"":""Harley with side car 6.6 wide 8ft long"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1400""}]","1","1"
"2024-06-30","San Jose","CA","95111","Cape Canaveral","FL","32920","1550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2001"",""model"":""Express 1500"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""950"",""total"":""2500"",""id"":""30575447_aabe_930b_b33f_8bc5a033aa33""}]","1","1"
"2024-09-16","Houston","TX","77060","pittsbu","PA","15146","625","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Prius"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""00"",""total"":""675"",""id"":""f60b8e13_8f0e_9e33_b7fe_f70861c4989b""}]","1","1"
"2023-09-06","Middleboro","MA","02346","NASHVILLE","TN","37217","900","[{""id"":""0"",""year"":""2012"",""model"":""3"",""make"":""MAZDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""1075""}]","1","1"
"2024-06-13","Worcester","MA","01603","Saint Cloud","FL","34771","350","[{""id"":""0"",""year"":""2003"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""500""}]","1","1"
"2023-09-20","Midland","MI","48642","ASHLAND","OR","97520","2000","[{""id"":""0"",""year"":""2013"",""model"":""300"",""make"":""CHRYSLER"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""2400""}]","1","1"
"2024-06-02","Albany","OR","97322","Little Rock","AR","72205","900","[{""id"":""0"",""year"":""2002"",""model"":""1500"",""make"":""CHEVROLET"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1100""}]","1","1"
"2023-08-30","Vallejo","CA","94589","HUBERT","NC","28539","1500","[{""id"":""0"",""year"":""2009"",""model"":""CAMRY"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1700""}]","1","1"
"2023-08-10","Jacksonville","FL","32225","Clearwater","FL","33763","125","[{""id"":""0"",""year"":""2013"",""model"":""Expedition"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""200""}]","1","0"
"2023-09-21","HERRIMAN","UT","84096","Rancho Cucamonga","CA","91730","300","[{""id"":""0"",""year"":""2005"",""model"":""318"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""450""}]","1","1"
"2024-07-26","Lawrence","MA","01841","Homestead","FL","33030","1000","[{""id"":""0"",""year"":""2012"",""model"":""Patriot"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1150""}]","1","1"
"2023-09-16","Chicago","IL","60607","Colorado Springs","CO","80903","550","[{""id"":""0"",""year"":""2010"",""model"":""Forester"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""145"",""total"":""695""}]","1","1"
"2024-01-16","SLIDELL","LA","70458","Los Angeles","CA","90007","750","[{""id"":""0"",""year"":""2011"",""model"":""PRIUS"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""350"",""total"":""1100""}]","1","1"
"2023-09-04","LAWRENCEVILLE","GA","30042","RENTON","WA","98055","900","[{""id"":""0"",""year"":""2011"",""model"":""rav 4"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1100""}]","1","1"
"2023-08-26","Portland","OR","97203","Milwaukee","WI","53212","1450","[{""id"":""0"",""year"":""2004"",""model"":""1500"",""make"":""CHEVROLET"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1650""}]","1","1"
"2023-09-13","Baton Rouge","LA","70817","Atlanta","GA","30314","300","[{""id"":""0"",""year"":""2006"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""400""}]","1","1"
"2024-06-02","Tampa","FL","33626","Centereach","NY","11720","355","[{""id"":""0"",""year"":""2010"",""model"":""Sport"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""145"",""total"":""500""}]","1","1"
"2023-08-22","NASHVILLE","TN","37205","SCOTTSDALE","AZ","85254","1000","[{""id"":""0"",""year"":""2023"",""model"":""Wrangler"",""make"":""jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""155"",""total"":""1155""}]","1","1"
"2023-08-17","Lexington","NC","27292","Ellabell","GA","31308","300","[{""id"":""0"",""year"":""1999"",""model"":""BOXSTER"",""make"":""PORSCHE"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""80"",""total"":""380""}]","1","1"
"2023-08-26","Washington","DC","20003","Emeryville","CA","94608","1000","[{""id"":""0"",""year"":""2010"",""model"":""Prius"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1200.00""}]","1","1"
