"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-07-29","Chicago","IL","60644","San Tan Valley","AZ","85143","750","[{""id"":""0"",""year"":""2014"",""model"":""Elantra"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""850""}]","1","1"
"2024-03-02","Atlanta","GA","30340","San Diego","CA","92115","1800","[{""id"":""0"",""year"":""2018"",""model"":""CROSSTREK"",""make"":""SUBARU"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""850"",""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""150"",""total"":""950"",""id"":""9e53f5c3_01c3_d343_1ce6_009293d4c437""}]","1","1"
"2024-09-12","Salem","NH","03079","Los Lunas","NM","87031","1200","[{""id"":""0"",""year"":""1994"",""model"":""Corvette "",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1600""}]","1","1"
"2024-09-17","Lemoore","CA","93245","Durham","NC","27703","1100","[{""id"":""0"",""year"":""2020"",""model"":""CR-V"",""make"":""HONDA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1450""}]","1","1"
"2024-09-07","Nuevo","CA","92567","Tacoma","WA","98408","900","[{""id"":""0"",""year"":""1971"",""model"":""DeVille"",""make"":""Cadillac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1000""}]","1","1"
"2024-10-03","Salt Lake City","UT","84107","Newhall","CA","91321","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""X5"",""make"":""bmw"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""550"",""id"":""9ff1db8d_4b37_2e04_7134_5e90697372b5""}]","1","1"
"2024-04-26","LISLE","IL","60532","VISALIA","CA","93291","1000","[{""id"":""0"",""year"":""2016"",""model"":""528"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1500""}]","1","1"
"2024-09-09","Natick","MA","01760","Tampa","FL","33647","800","[{""id"":""0"",""year"":""2017"",""model"":""A8"",""make"":""AUDI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1150""}]","1","1"
"2024-04-10","Lincoln","NE","68506","WYLIE","TX","75098","500","[{""id"":""0"",""year"":""2017"",""model"":""CAMRY (white)"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""800"",""color"":""""}]","1","1"
"2024-11-17","Novi","MI","48375","Tempe","AZ","85282","500","[{""id"":""0"",""year"":""2013"",""model"":""Outback"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""700""}]","1","1"
