"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-08-06","Nampa","ID","83686","Los Angeles","CA","90023","500","[{""id"":""0"",""year"":""2005"",""model"":""911"",""make"":""Porsche"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""750""}]","2","1"
"2024-09-01","Columbia","SC","29201","Las Vegas","NV","89103","3700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Sienna"",""make"":""Toyota"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""175"",""total"":""1100"",""id"":""4704c331_2701_0891_c5e2_7cc614a18c16""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Sienna"",""make"":""Toyota"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""175"",""total"":""1100"",""id"":""b323a89d_8d4e_4d6e_389d_b11b6d0c04de""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Sonic"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""175"",""total"":""1100"",""id"":""372d66f8_22ef_4fa7_a981_688db0ab1742""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Pilot"",""make"":""Honda"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""175"",""total"":""1100"",""id"":""14300a67_fd2a_7c20_ea56_03c4daba5a96""}]","1","1"
"2024-08-09","Washington","PA","15301","Brooklyn","NY","11234","450","[{""id"":""0"",""year"":""2016"",""model"":""Acadia"",""make"":""GMC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""500""}]","1","1"
"2024-08-09","Houston","TX","77073","Richardson","TX","75082","180","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Elantra Sedan"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""0"",""id"":""4833ff1d_7cfd_dddc_e57f_6ea53bf6fdc6""}]","1","1"
"2024-08-16","San Marcos","CA","92078","Minneapolis","MN","55404","1500","[{""id"":""0"",""year"":""2014"",""model"":""1500"",""make"":""Ram"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1650""}]","1","1"
"2024-08-12","Scarsdale","NY","10583","New Orleans","LA","70118","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Outback"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""400"",""total"":""1300"",""id"":""24d0f8fe_a2c1_2aff_725b_f2bc6230520f""}]","1","1"
"2024-08-26","Fort Lauderdale","FL","33316","New Rochelle","NY","10801","1200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""911 gt"",""make"":""Porsche"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""400"",""total"":""2100"",""id"":""5f0429d9_cbff_7e0a_0c24_9bc86f5cf1a7""}]","2","1"
"2024-08-21","La Grange","IL","60525","Hudson","WI","54016","325","[{""id"":""0"",""year"":""2019"",""model"":""Sentra"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""525""}]","1","1"
"2024-08-20","Richmond","TX","77407","Los Angeles","CA","90015","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2022"",""model"":""Stinger GT2"",""make"":""Kia"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""350"",""total"":""850"",""id"":""bcec3fc4_0466_780f_3487_f911ca91f3b4""}]","1","1"
"2024-08-22","Cuyahoga Falls","OH","44223","Hartford","CT","06120","400","[{""id"":""0"",""year"":""2010"",""model"":""LS 460"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
