"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2022-01-11","Rincon","GA","31326","Cocoa","FL","32922","250.00","[{""id"":""1"",""year"":""2006"",""model"":""G6"",""make"":""Pontiac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""350.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""31103466""}]","1","1"
"2022-01-20","Dallas","TX","75220","Glennville","GA","30427","600.00","[{""id"":""1"",""year"":""2003"",""model"":""Corvette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""700.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2022-01-08","Edon","OH","43518","Brooklyn","NY","11234","1000.00","[{""id"":""1"",""year"":""1973"",""model"":""Vintage 13ft long"",""make"":""Lark"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""200.00"",""total"":""1200.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2022-01-06","West Palm Beach","FL","33411","Plantation","FL","33317","150.00","[{""id"":""1"",""year"":""2014"",""model"":""Grand Cherokee LAREDO"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""0.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""2"",""year"":""2018"",""model"":""RAM 1500"",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""150.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2022-01-06","West Palm Beach","FL","33411","Plantation","FL","33317","300.00","[{""id"":""1"",""year"":""2017"",""model"":""Grand Caravan"",""make"":""Dodge"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""150.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""2"",""year"":""2018"",""model"":""Ram Pickup 150"",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""150.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""3"",""year"":""2018"",""model"":""RAM 150"",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""150.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2022-01-06","Palmetto","FL","34221","Miami","FL","33161","175.00","[{""id"":""1"",""year"":""2012"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""75.00"",""total"":""250.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""31598128""}]","1","1"
"2022-01-05","Georgetown","TX","","Yucaipa","CA","92399","800.00","[{""id"":""1"",""year"":""1956"",""model"":""Beetle"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""199.00"",""total"":""999.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2022-01-03","Fort Lauderdale","FL","","Youngstown","OH","","450.00","[{""id"":""1"",""year"":""2007"",""model"":""WRANGLER"",""make"":""JEEP"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""149.00"",""total"":""599.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-12-25","Las Vegas","NV","","Minneapolis","MN","","1400.00","[{""id"":""1"",""year"":""2022"",""model"":""F450"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""350.00"",""total"":""1750.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-12-27","Seattle","WA","","New Orleans","LA","","1600.00","[{""id"":""1"",""year"":""2020"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""199.00"",""total"":""1799.00"",""color"":"""",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
