"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-08-30","Corpus Christi","TX","78405","Jacksonville","FL","32216","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Ram 1500"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""620"",""id"":""7991f054_35b9_e4e2_01c0_6ce57305a92d""}]","1","1"
"2024-08-26","Portland","OR","97217","Fremont","CA","94538","1400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Sierra"",""make"":""Gmc"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""e6988813_a62c_7e59_3863_65f2ef0e6d02""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Sienna"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""ed3d9972_4f7e_3d39_3142_d657a985fb94""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""9393e735_7802_7990_ffa1_523869f74bbf""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""9120e3ef_6508_6c52_829a_849dc8e8492b""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Gs"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""4794582b_32a3_d15f_e654_c14e13b69209""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""2414b27b_e34d_5806_198f_1d038c88c431""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Rav4"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""30"",""total"":""230"",""id"":""cefdab1a_1852_3c56_3ee9_3700976ffc56""}]","1","1"
"2024-09-16","LONG BEACH","CA","90807","HEMPSTEAD","TX","77445","2000","[{""id"":""0"",""year"":""1966"",""model"":""PICKUP"",""make"":""CHEVROLET"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""1050""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1964"",""model"":""PICKUP"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""1050"",""id"":""609ed7f9_b6dc_8790_6260_75edfed7efec""}]","1","0"
"2024-08-27","DALLAS","TX","75234","Lakeshore","FL","33854","900","[{""id"":""0"",""year"":""1987"",""model"":""CORVETTE"",""make"":""CHEVROLET"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""500""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""500"",""id"":""bc262a19_627d_f5cc_1934_50fbaca4839c""}]","1","1"
"2024-08-20","Birmingham","AL","35211","Arlington","TX","76016","350","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Sienna"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""d22493cc_b305_b517_0fab_7348ea21065f""}]","1","1"
"2024-08-22","Loveland","OH","45140","New Orleans","LA","70145","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Wrangler"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""08c6a70a_941e_db23_9ced_c4aa2754d956""}]","1","1"
"2024-07-23","Tacoma","WA","98404","Fremont","CA","94538","1400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""264d0483_5cf2_43a5_3ef4_1e952d3cd58d""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""587fbf6c_442f_dc28_22b6_147e3e035551""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""63f7de7c_55d2_5868_c763_6ff7fc6c70bc""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""F150"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""2ae000c9_8f0d_d53b_5f0d_42b8bf8c0355""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""abb133c4_8657_060e_ced5_e2ea40bf3815""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2007"",""model"":""F-150"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""4738ddcd_9b17_bfea_d961_e06f0a4f80b2""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""341bec8a_e1e1_6793_53f5_59476cfec359""}]","1","1"
"2024-09-05","Rancho Cordova","CA","95670","Ontario","CA","91761","2400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Tacoma"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""1c2112d2_6150_f2ff_daf0_264ee18023b5""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Sierra 2500hd"",""make"":""Gmc"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""dd08d174_262f_a525_22ee_a7687e9bc4ba""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Fj Cruiser"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""2a90eb3a_8d5e_2b54_f54c_05d1dea828da""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""4runner"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""0085fbbf_9804_dafd_7bdb_bd760b4dd77a""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Titan"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""0d1b2390_f1a0_466f_6a37_af684eb37279""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""200"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""59d1a158_82e0_ad08_9f59_302ba36dabcd""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Pilot"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""d6c778a6_8440_c928_e006_b240cf724bc0""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Sierra 2500hd"",""make"":""Gmc"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""186f5078_2c23_8187_49f5_9ae5ae2d686b""}]","1","1"
"2025-03-24","Littleton","CO","80123","Santee","CA","92071","650","[{""id"":""0"",""year"":""2015"",""model"":""GRAND CHEROKEE"",""make"":""JEEP"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""800""}]","1","1"
"2024-11-21","Houston","TX","77073","Weslaco","TX","78596","250","[{""id"":""0"",""year"":""2017"",""model"":""2 SERIES"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""350""}]","1","1"
"2024-11-25","Sugar Land","TX","77498","Windsor Mill","MD","21244","400","[{""id"":""0"",""year"":""2020"",""model"":""CHARGER"",""make"":""DODGE"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""500""}]","1","1"
