"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-03-04","Bismarck","ND","58501","Cedar","MN","55011","400","[{""id"":""0"",""year"":""1976"",""model"":""K10"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""500.00""}]","1","1"
"2025-02-17","Mc Lean","VA","22101","Kent","WA","98031","1045","[{""id"":""0"",""year"":""2024"",""model"":""330i"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1195""}]","1","1"
"2025-03-18","Birmingham","AL","35061","Tulsa","OK","74120","400","[{""id"":""0"",""year"":""2019"",""model"":""4 Series"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""145"",""total"":""545"",""vin"":""f93130""}]","1","1"
"2025-02-28","Frisco","TX","75034","Morristown","NJ","07960","900","[{""id"":""0"",""year"":""2014"",""model"":""SL"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""950""}]","2","1"
"2025-03-06","Pittsford","NY","14534","Austin","TX","78748","900","[{""id"":""0"",""year"":""2001"",""model"":""Firebird"",""make"":""Pontiac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""195"",""total"":""1095"",""vin"":""132736""}]","1","1"
"2025-03-11","Morristown","NJ","07960","Delray Beach","FL","33484","800","[{""id"":""0"",""year"":""2014"",""model"":""SL"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""275"",""total"":""1075""}]","2","1"
"2025-03-04","Tempe","AZ","85284","South El Monte","CA","91733","400","[{""id"":""0"",""year"":""2016"",""model"":""Tucson"",""make"":""Hyundai"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""550.00""}]","1","0"
"2025-03-28","Humboldt","TN","38343","Akron","OH","44313","550","[{""id"":""0"",""year"":""2020"",""model"":""Routan"",""make"":""VolksWagen"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""650.00""}]","1","1"
"2025-02-25","Fort Worth","TX","76006","Winter Garden","FL","34787","450","[{""id"":""0"",""year"":""2018"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""600""}]","1","1"
"2025-04-09","Lenoir City","TN","37771","Morristown","NJ","07962","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""SL"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""600"",""id"":""c1f430c5_21c1_7399_aa8c_041ca1f5cdb4""}]","2","1"
"2024-12-09","Glenview","IL","60025","Dallas","TX","75205","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""X5"",""make"":""BMW"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""550"",""total"":""1050"",""id"":""4fca643a_769f_dbf4_a36e_dcf862388444""}]","1","1"
"2025-03-21","Savannah","GA","31406","Payson","AZ","85541","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""1050"",""id"":""52fb5557_b8ea_fbea_bc3b_05f605ecdc14""}]","1","1"
"2025-03-21","Matthews","NC","28105","Savannah","GA","31409","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Tahoe"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""350"",""id"":""52fb5557_b8ea_fbea_bc3b_05f605ecdc14""}]","1","1"
"2025-04-01","Morristown","NJ","07962","Fairplay","CO","80440","1500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""SL"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""400"",""total"":""1900"",""id"":""c1f430c5_21c1_7399_aa8c_041ca1f5cdb4""}]","2","1"
"2025-04-05","Richmond","VA","23235","Dallas","TX","75206","700","[{""id"":""0"",""year"":""2015"",""model"":""Q5"",""make"":""Audi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""850.00""}]","1","1"
"2025-04-10","Las Vegas","NV","89129","Fort Lauderdale","FL","33317","800","[{""id"":""0"",""year"":""2015"",""model"":""XC60"",""make"":""Volvo"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""950.00""}]","1","1"
"2024-10-22","Portsmouth","VA","23701","Sudlersville","MD","21668","300","[{""id"":""0"",""year"":""1985"",""model"":""F150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""400""}]","1","1"
"2024-10-15","Lumberton","MS","39455","Gunnison","CO","81230","700","[{""id"":""0"",""year"":""2006"",""model"":""Civic"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""900""}]","2","1"
"2024-10-21","Dallas","TX","75235","Gretna","LA","70056","350","[{""id"":""0"",""year"":""2011"",""model"":""Cayenne"",""make"":""Porsche"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""450.00""}]","1","1"
"2024-10-25","Hawthorne","CA","90250","Fairfax","VA","22033","800","[{""id"":""0"",""year"":""2014"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1200""}]","1","1"
"2024-11-08","Palos Hills","IL","60465","Bell Gardens","CA","90201","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Grand Caravan"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""300"",""total"":""1100"",""id"":""a1763826_b76c_db67_9c7c_b57e30d00241""}]","1","1"
