"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-02-06","Williamsburg","VA","23188","San Antonio","TX","78254","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""800"",""id"":""fd55202d_4cef_792a_4a46_d1638215bbf5""}]","1","1"
"2025-02-11","Knoxville","TN","37932","Patchogue","NY","11772","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2022"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""750"",""id"":""04a21ea1_c864_4ef5_925a_2987669f78e8""}]","1","1"
"2025-02-12","San Francisco","CA","94107","Redding","CA","96001","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""karma"",""make"":""fisker"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""450"",""id"":""dd089ee3_466f_26cf_380a_2950acf139d2""}]","2","1"
"2025-02-13","Las Vegas","NV","89183","Pittsburgh","PA","15219","1200","[{""id"":""0"",""year"":""2024"",""model"":""Mustang Mach-E"",""make"":""ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1600""}]","1","1"
"2025-02-13","Lexington","VA","24450","Katy","TX","77493","800","[{""id"":""0"",""year"":""2015"",""model"":""X5"",""make"":""bmw"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1000""}]","1","1"
"2025-02-15","Tulsa","OK","74133","Buena Park","CA","90621","800","[{""id"":""0"",""year"":""1975"",""model"":""continental"",""make"":""lincoln"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""450"",""total"":""1250""}]","1","1"
"2025-03-17","Cypress","TX","77433","Hollywood","FL","33023","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""IS250"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""550"",""id"":""cb75fd65_3d97_7695_fcde_884131534090""}]","1","0"
"2025-02-17","Cypress","TX","77433","San Angelo","TX","76903","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""C230"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""500"",""id"":""cb75fd65_3d97_7695_fcde_884131534090""}]","2","1"
"2025-03-04","Palm Beach","FL","33480","Yorktown Heights","NY","10598","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Xf"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""49aad351_dcf4_5a1c_e125_ea03b9a0eb49""}]","1","1"
"2025-02-13","Hilton","NY","14468","Tarpon Springs","FL","34689","800","[{""id"":""0"",""year"":""2023"",""model"":""Outlander"",""make"":""mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""950""}]","1","1"
