"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-04-03","Heights  ","OH","44128","  ","OH","43068","175.00","[{""id"":""10000001"",""year"":""2013"",""model"":""528xi"",""make"":""BMW"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""250""}]","1","1"
"2022-09-30","Myakka City","FL","34251","  ","FL","33183","350.00","[{""id"":""10000001"",""year"":""2018"",""model"":""F350 "",""make"":""Ford"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""500""}]","1","0"
"2022-03-28","  ","TX","75172","  ","GA","31405","450.00","[{""id"":""10000001"",""year"":""2012"",""model"":""Cruze"",""make"":""Chevrolet"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""450""}]","1","1"
"2022-04-04","  ","TX","75172","  ","OH","43068","900.00","[{""id"":""10000001"",""year"":""2004"",""model"":""Ram 2500 4D Extended Cab "",""make"":""Dodge"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""450""},{""id"":""10000002"",""year"":""2013"",""model"":""CR-V"",""make"":""Honda"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""450""}]","1","1"
"2022-04-04","Springs  ","GA","30122","  ","OH","43068","400.00","[{""id"":""10000001"",""year"":""2010"",""model"":""CR-V"",""make"":""Honda"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""400""}]","1","1"
"2022-10-10","  ","WA","98032","Austin","TX","78749","1100.00","[{""id"":""10000001"",""year"":""2015"",""model"":""X3"",""make"":""BMW"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1250""}]","1","1"
"2022-11-02","Point  ","NC","27262","Heights  ","MD","20743","250.00","[{""id"":""10000001"",""year"":""2007"",""model"":""Continental Flying Spur"",""make"":""Bentley"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""400""}]","1","1"
"2022-10-10","Stockton","CA","95206","Clearfield","UT","84015","800.00","[{""id"":""10000001"",""year"":""2007"",""model"":""GL-450 "",""make"":""Mercedes-Benz"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","0"
"2022-04-11","  ","TX","75904","Township  ","NJ","08844","700.00","[{""id"":""10000001"",""year"":""2018"",""model"":""CR-V"",""make"":""Honda"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""750""}]","1","1"
"2022-10-11","Fort Myers","FL","33908","Miami","FL","33177","175.00","[{""id"":""10000001"",""year"":""2004"",""model"":""330 "",""make"":""BMW"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""275""}]","1","0"
"2022-10-18","Beach  ","FL","33407","West  ","FL","33040 ","600.00","[{""id"":""10000001"",""year"":""2020"",""model"":""Cart"",""make"":""Golf"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""450""},{""id"":""10000002"",""year"":""2020"",""model"":""Cart"",""make"":""Golf"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""450""}]","2","1"
"2022-10-14","Manuel 
9735637877
East Granby","CT","06026","Township  ","NJ","08844","250.00","[{""id"":""10000001"",""year"":""2007"",""model"":""Accord"",""make"":""Honda"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""300""}]","1","1"
"2022-04-18","  ","FL","33317","Westerville","OH","43081","1050.00","[{""id"":""10000001"",""year"":""2016"",""model"":""Suburban 1500"",""make"":""Chevrolet"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1200""}]","1","1"
"2022-10-26","Fort Lauderdale","FL","33304","  ","TN","37209","400.00","[{""id"":""10000001"",""year"":""2016"",""model"":""ForTwo"",""make"":""Smart"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""575""}]","1","1"
"2022-10-19","Manuel 
9735637877
Glassboro","NJ","08028","Township  ","NJ","08844","300.00","[{""id"":""10000001"",""year"":""2019"",""model"":""Travel Trailer"",""make"":""Reflection"",""type"":"""",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""350""}]","1","1"
