"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2022-08-10","Milwaukee","WI","53201","Daytona Beach","FL","32114","900","[{""id"":""0"",""year"":""2020"",""model"":""Malibu"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1000""}]","1","1"
"2022-09-01","Red Bank","NJ","07701","Burbank","CA","91504","1200","[{""id"":""0"",""year"":""2014"",""model"":""300"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1400""}]","1","1"
"2022-09-01","Windsor","NJ","08561","Duncanville","TX","75116","800","[{""id"":""0"",""year"":""2009"",""model"":""CL-Class"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""1050"",""lot_number"":""52341482""}]","1","1"
"2022-08-29","Sammamish","WA","98074","Cape Coral","FL","33991","1300","[{""id"":""0"",""year"":""2013"",""model"":""Quattroporte"",""make"":""Maserati"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1450""}]","1","1"
"2022-08-16","Las Vegas","NV","89146","Alexandria","VA","22312","1200","[{""id"":""0"",""year"":""2010"",""model"":""Tucson"",""make"":""Hyundai"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1350""}]","1","1"
"2022-08-10","Newtown Square","PA","19073","La Mesa","CA","91942","1300","[{""id"":""0"",""year"":""2021"",""model"":""Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1450""}]","1","1"
"2022-08-05","Minneapolis","MN","55423","Seatac","WA","98188","900","[{""id"":""0"",""year"":""2019"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1000""}]","1","1"
"2022-07-26","San Antonio","TX","78201","Camp Hill","PA","17011","1025","[{""id"":""0"",""year"":""2022"",""model"":""Tundra"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1150""}]","1","1"
"2022-07-20","Grand Prairie","TX","75050","Nellis AFB","NV","89191","550","[{""id"":""0"",""year"":""2013"",""model"":""cruse"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""700""}]","1","1"
"2022-07-13","Jersey City","NJ","07305","Charlotte","NC","28269","400","[{""id"":""0"",""year"":""2014"",""model"":""ML"",""make"":""Mercedes Benz"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
"2022-07-05","Charlotte","NC","28269","Santa Clara","CA","95050","1100","[{""id"":""0"",""year"":""2013"",""model"":""535"",""make"":""Bmw"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1200""}]","1","1"
"2022-07-08","Edison","NJ","08820","Farmers Branch","TX","75244","800","[{""id"":""0"",""year"":""2014"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""900""}]","1","1"
"2022-07-08","Grand Forks","ND","58201","Orange Park","FL","32073","1350","[{""id"":""0"",""year"":""2019"",""model"":""Frontier"",""make"":""Nissan"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""1600""}]","1","1"
"2024-03-01","Palm Desert","CA","92211","Branson","MO","65616","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""e pace"",""make"":""Jaguar"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1100"",""id"":""2eaef3a8_5c9c_a4c7_971d_3b17fc57676f""}]","1","1"
"2022-11-21","Houston","TX","77073","Riverview","FL","33579","600","[{""id"":""0"",""year"":""2015"",""model"":""F-150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""700"",""lot_number"":""53573452""}]","1","1"
"2023-01-21","Cleveland","OH","44135","Miami","FL","33161","800","[{""id"":""0"",""year"":""2016"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","1"
"2024-05-08","South Richmond Hill","NY","11419","Sacramento","CA","95834","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Y"",""make"":""Tesla Motors"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""300"",""total"":""1400"",""id"":""4bb7ef72_b664_59d9_1ea6_8fc111480272""}]","1","1"
"2022-05-27","Anthony","TX","79821","North Lauderdale","FL","33068","800","[{""id"":""0"",""year"":""2016"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""900""}]","1","1"
