"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-01-03","RUTLAND","VT","05701","ALBANY","NY","12201","1","[{""id"":""0"",""year"":""2013"",""model"":""TERRAIN"",""make"":""GMC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-05-10","Laredo","TX","78041","Garland","TX","75042","350","[{""id"":""0"",""year"":""2014"",""model"":""Mirage"",""make"":""Mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""450""}]","1","1"
"2024-03-09","Rochester","NY","14611","Lowman","NY","14861","250","[{""id"":""0"",""year"":""2011"",""model"":""DTS"",""make"":""Cadillac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""300""}]","1","1"
"2024-10-08","RANCHO SANTA FE","CA","92067","PORT ST. LUCIE","FL","34983","1000","[{""id"":""0"",""year"":""2023"",""model"":""KONA"",""make"":""HYUNDAI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1200""}]","1","1"
"2024-10-28","BROOKLYN","NY","11229","BOCA RATON","FL","33434","800","[{""id"":""0"",""year"":""2023"",""model"":""ROGUE"",""make"":""NISSAN"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1000""}]","1","1"
"2024-07-01","JACKSONVILLE","FL","32225","PROSPER","TX","75078","1","[{""id"":""0"",""year"":""2014"",""model"":""Z4"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-07-01","CENTRALIA","MO","65240","Saint Louis","MO","63102","1","[{""id"":""0"",""year"":""2019"",""model"":""CHEROKEE"",""make"":""JEEP"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-10-24","Los Angeles","CA","90021","TULARE","CA","93275","350","[{""id"":""0"",""year"":""2017"",""model"":""ELANTRA GT"",""make"":""HYUNDAI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""550""}]","1","0"
"2024-10-29","Kissimmee","FL","34744","Houston","TX","77072","500","[{""id"":""0"",""year"":""2015"",""model"":""COROLLA"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""700""}]","1","1"
"2024-03-06","Upper Darby","PA","19082","Detroit","MI","48202","350","[{""id"":""0"",""year"":""2005"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""350""}]","1","1"
"2024-06-13","Stockton","CA","95207","Miami","FL","33177","1350","[{""id"":""0"",""year"":""2016"",""model"":""XC90"",""make"":""Volvo"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1550""}]","1","1"
"2024-02-03","Kenner","LA","70065","Dover","NJ","07801","1","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Elantra"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1"",""id"":""2edf9108_dd64_1aa8_0d95_269b7b5d8a83""}]","1","1"
"2024-03-12","Brooklyn","NY","11223","Woodstock","GA","30188","650","[{""id"":""0"",""year"":""2010"",""model"":""Camry Hybrid"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""350"",""total"":""1000""}]","1","1"
"2024-07-01","New Bern","NC","28560","Los Angeles","CA","90044","1","[{""id"":""0"",""year"":""2009"",""model"":""Optima"",""make"":""Kia"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-05-22","Thornton","CO","80241","Spartanburg","SC","29301","675","[{""id"":""0"",""year"":""2015"",""model"":""Camaro"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""125"",""total"":""800""}]","1","1"
"2024-05-15","Nashville","TN","37203","Chicago","IL","60601","400","[{""id"":""0"",""year"":""2016"",""model"":""228i"",""make"":""BMW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""400""}]","1","1"
"2024-07-09","WILLISTON","ND","58801","MILLS","WY","82604","1","[{""id"":""0"",""year"":""2015"",""model"":""EXPEDITION"",""make"":""FORD"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-04-21","Elmwood Park","NJ","07407","New Port Richey","FL","34653","550","[{""id"":""0"",""year"":""2019"",""model"":""Rogue"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""700""}]","1","1"
"2024-10-14","Stratford","CT","06614","Fairburn","GA","30213","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""cooper"",""make"":""Mini"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""700"",""id"":""7cbf9a90_c0ba_98ce_04d5_73d8eb1f7780""}]","1","1"
"2024-04-26","Windsor Mill","MD","21244","Alpharetta","GA","30004","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""600"",""id"":""ad6ad107_1176_c44a_28db_6cdf79219c9d""}]","1","1"
"2025-01-07","PRIEST RIVER","ID","83856","PAYSON","AZ","85541","1","[{""id"":""0"",""year"":""2007"",""model"":""NITRO"",""make"":""DODGE"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-02-28","Hustisford","WI","53034","Wills Point","TX","75169","800","[{""id"":""0"",""year"":""2016"",""model"":""Challenger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""850""}]","1","1"
"2024-02-28","Buna","TX","77612","Phoenix","AZ","85027","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Challenger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1000"",""id"":""84bc75ba_fc7e_be7f_e056_423d4439a04f""}]","1","1"
"2025-01-14","ROME","GA","30161","COLUMBUS","OH","43085","1","[{""id"":""0"",""year"":""2019"",""model"":""ACCORD"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-02-07","Elmwood Park","IL","60707","Henderson","NV","89014","650","[{""id"":""0"",""year"":""2019"",""model"":""Cherokee"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""700""}]","1","1"
"2025-01-14","Nampa","ID","83686","Phoenix","AZ","85033","1","[{""id"":""0"",""year"":""1999"",""model"":""F150"",""make"":""FORD"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
