"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-05-23","SANTA BARBARA","CA","93105","Amarillo","TX","79118","1100","[{""id"":""0"",""year"":""2022"",""model"":""COOPER"",""make"":""MINI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1200""}]","1","1"
"2024-06-15","DUBLIN","CA","94568","CHICAGO","IL","60637","900","[{""id"":""0"",""year"":""2017"",""model"":""ELANTRA"",""make"":""HYUNDAI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1100""}]","1","1"
"2024-08-10","Chelsea","MA","02150","Columbus","OH","43230","550","[{""id"":""0"",""year"":""2011"",""model"":""AVEO"",""make"":""CHEVROLET"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""630""}]","1","1"
"2024-07-13","Pflugerville","TX","78660","El Paso","TX","79936","400","[{""id"":""0"",""year"":""2020"",""model"":""Insight"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""578"",""total"":""578""}]","1","1"
"2024-07-17","Chesapeake","VA","23320","Coronado","CA","92118","900","[{""id"":""0"",""year"":""2023"",""model"":""300-Class"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1100""}]","1","1"
"2024-07-30","Scottsdale","AZ","85260","South Jordan","UT","84009","550","[{""id"":""0"",""year"":""2022"",""model"":""Wagoneer"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""850""}]","1","1"
"2024-07-30","North Attleboro","MA","02760","Highland","CA","92346","1200","[{""id"":""0"",""year"":""2024"",""model"":""QX50"",""make"":""INFINITI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1500""}]","1","1"
"2024-07-19","Liberty Hill","TX","78642","Richmond","VA","23223","650","[{""id"":""0"",""year"":""2022"",""model"":""Qx55"",""make"":""INFINITI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""220"",""total"":""870""}]","1","1"
"2024-08-01","Phoenix","AZ","85086","Los Banos","CA","93635","800","[{""id"":""0"",""year"":""2024"",""model"":""KAF400J"",""make"":""Kawasaki"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""296"",""total"":""696""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2024"",""model"":""KAF400J"",""make"":""Kawasaki"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""250"",""total"":""650"",""id"":""aec653f7_22d2_7765_da7e_adf776d87cc2""}]","2","1"
"2024-07-19","Columbus","OH","43085","Winter Garden","FL","34787","500","[{""id"":""0"",""year"":""2018"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650""}]","1","1"
"2024-08-01","Farnham","VA","22460","Stigler","OK","74462","1200","[{""id"":""0"",""year"":""2021"",""model"":""Ram 3500"",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1450""}]","1","1"
"2024-08-03","Denison","TX","75021","Colorado Springs","CO","80913","650","[{""id"":""0"",""year"":""2000"",""model"":""1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""850""}]","1","1"
"2024-07-24","Corvallis","OR","97330","Beaverton","OR","97007","200","[{""id"":""0"",""year"":""2008"",""model"":""Impreza"",""make"":""Subaru"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""250""}]","1","1"
"2024-07-05","Kingston","MA","02364","North Fort Myers","FL","33917","400","[{""id"":""0"",""year"":""2005"",""model"":""XA"",""make"":""SCION"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""165"",""total"":""565""}]","1","1"
"2024-07-08","Edmonds","WA","98020","Laramie","WY","82070","1050","[{""id"":""0"",""year"":""1994"",""model"":""F-150"",""make"":""FORD"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1400""}]","1","1"
"2024-08-02","West Hollywood","CA","90048","Munster","IN","46321","1100","[{""id"":""0"",""year"":""2017"",""model"":""NX 200t"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1400""}]","1","1"
"2024-07-06","Brentwood","TN","37027","Bronx","NY","10455","700","[{""id"":""0"",""year"":""2024"",""model"":""MDX"",""make"":""Acura"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1100""}]","1","1"
"2024-08-12","Savannah","GA","31408","North Augusta","SC","29841","150","[{""id"":""0"",""year"":""2015"",""model"":""Santa Fe Sport"",""make"":""Hyundai"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""200""}]","1","0"
"2024-10-19","Indianapolis","IN","46260","Cypress","TX","77433","1200","[{""id"":""0"",""year"":""2022"",""model"":""Model Y"",""make"":""TESLA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""700""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""shortage"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""1f986d57_7b36_0710_77c4_a35226da34d7""}]","1","1"
"2024-08-24","CLARENCE","NY","14031","BRADENTON","FL","34211","850","[{""id"":""0"",""year"":""2007"",""model"":""280SL"",""make"":""MERCEDES-BENZ"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""950""}]","1","1"
"2024-08-21","Lincoln","NE","68521","Denver","CO","80224","300","[{""id"":""0"",""year"":""2014"",""model"":""HIGHLANDER"",""make"":""TOYOTA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""400""}]","1","1"
"2024-10-02","Dumfries","VA","22026","San Diego","CA","92135","800","[{""id"":""0"",""year"":""2017"",""model"":""Corolla iM"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1100""}]","1","1"
"2024-10-24","LEWISBERRY","PA","17339","Panama City Beach","FL","32413","850","[{""id"":""0"",""year"":""2006"",""model"":""350Z"",""make"":""NISSAN"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""950""}]","1","1"
"2024-10-04","Indianapolis","IN","46219","BROOKLYN","NY","11236","540","[{""id"":""0"",""year"":""2009"",""model"":""ACCORD"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""700""}]","1","1"
"2024-09-27","Edison","NJ","08817","Sarasota","FL","34236","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":""WAUBHBFW6R7901285"",""lot_number"":"""",""color"":"""",""year"":""2024"",""model"":""RS Etron GT"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""380"",""total"":""1480"",""id"":""89f4337b_8cb2_72c1_01db_fe3e558c8093""}]","2","1"
"2024-11-11","Casper","WY","82604","Houston","TX","77076","1550","[{""id"":""0"",""year"":""2016"",""model"":""Cat Alterra 700 4x4"",""make"":""Arctic"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2013"",""model"":""Sportsman 550 xp"",""make"":""Polaris"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""950"",""id"":""55c8e513_c579_2e96_1e73_e5133dc7a75d""}]","1","1"
"2024-09-28","Secaucus","NJ","07094","Sterling","VA","20166","300","[{""plate"":"""",""plate_state_code"":"""",""vin"":""JM3KFBAY9M0471696"",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""CX5"",""make"":""Mazda"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""80"",""total"":""420"",""id"":""ba0e5c40_54db_f664_7af1_99c894dbbf8e""}]","1","1"
"2024-10-10","Allentown","PA","18109","Newington","CT","06111","275","[{""id"":""0"",""year"":""2008"",""model"":""ROGUE"",""make"":""NISSAN"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""300""}]","1","0"
