"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-01-17","LAS VEGAS","NV","89130","SOUTH BEND","IN","46613","850","[{""id"":""0"",""year"":""2019"",""model"":""OPTIMA"",""make"":""KIA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""300.00"",""total"":""1150.00""}]","1","1"
"2024-11-12","Wilkes-Barre","PA","18701","Seabrook","NH","03874","350","[{""id"":""0"",""year"":""2006"",""model"":""300c"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450.00""}]","1","1"
"2024-09-28","Wayne","PA","19087","Albertville","AL","35950","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2009"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""650"",""id"":""e05c5314_e41d_2087_d8e5_c0d6ac2aa3e8""}]","1","1"
"2024-11-13","Plano","TX","75024","Donnelly","ID","83615","950","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Explorer"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""250"",""total"":""1200"",""id"":""09acc04d_5ef5_77ea_fd22_c3dc88b7bc7a""}]","1","1"
"2024-11-09","Philadelphia","PA","19148","Miami","FL","33175","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Xt5"",""make"":""Cadillac"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""700"",""id"":""7888221e_39c5_917e_9e7b_0ad798d5dfbf""}]","1","1"
"2024-10-28","Phoenix","AZ","85043","San Fernando","CA","91340","300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""68781773"",""color"":"""",""year"":""2016"",""model"":""Transit Connect Wagon"",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""100"",""total"":""500"",""id"":""be376f9e_462c_8ef7_5119_c1208c5c18b3""}]","1","1"
"2024-11-05","Sturbridge","MA","01566","Naples","FL","34104","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2005"",""model"":""Clk Amg"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""150"",""total"":""1050"",""id"":""d20dd657_3eee_8607_facf_e3fbf94ebf97""}]","1","1"
"2024-10-15","Orlando","FL","32808","Port Charlotte","FL","33948","175","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Journey"",""make"":""Dodge"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""250"",""id"":""afb47d0d_aaa3_daf7_5caa_7a09d724b9bb""}]","1","1"
"2024-11-15","Plaistow","NH","03865","Alpharetta","GA","30022","650","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Elantra Sedan"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""700"",""id"":""ca2c59ac_f72e_6aec_8018_4883a0f87446""}]","1","1"
"2024-11-16","Fort Lauderdale","FL","33317","Laredo","TX","78046","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2000"",""model"":""grand caravan"",""make"":""Dodge"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""400"",""total"":""1100"",""id"":""21b8344c_732f_71b3_29a9_04ecfcce575e""}]","1","1"
"2024-11-19","Los Angeles","CA","90065","Springdale","AR","72762","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""Rav4 5 Doors"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""300"",""total"":""1150.00"",""id"":""928f8bf3_70ef_9f61_2824_246d3fd191ca""}]","1","1"
"2024-11-09","New Lebanon","NY","12125","Fort Lauderdale","FL","33309","1000","[{""id"":""0"",""year"":""2022"",""model"":""F-150 4dr Short Bed"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""500"",""total"":""1500.00""}]","1","1"
"2024-11-14","Northampton","MA","01060","Seffner","FL","33584","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Corsair 1"",""make"":""Lincoln"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""850"",""id"":""1632deb0_9fbc_a9c7_5671_92b05c2a3ed5""}]","1","1"
"2024-11-20","Punta Gorda","FL","33982","Clarkesville","GA","30523","400","[{""id"":""0"",""year"":""2004"",""model"":""Silverado 2500 4dr Short Bed"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""500""}]","1","1"
