"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-10-25","Portland","OR","97214","Tucson","AZ","85737","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""530"",""make"":""Bmw"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""325"",""total"":""1025"",""id"":""a9f7ae09_7595_1cfb_32af_474944c6da37""}]","1","1"
"2025-01-23","Mars Hill","NC","28754","Fayetteville","GA","30214","1","[{""id"":""0"",""year"":""1999"",""model"":""Montero"",""make"":""Mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-11-16","Grambling","LA","71245","Oklahoma City","OK","73150","400","[{""id"":""0"",""year"":""2016"",""model"":""Juke"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""500""}]","1","1"
"2024-09-27","Holiday","FL","34690","Wayne","NJ","07470","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Cr V"",""make"":""Honda"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""750"",""id"":""89e87955_2c2c_f778_be24_ba1dd38251a9""}]","1","1"
"2025-01-23","Mars Hill","NC","28754","Fayetteville","GA","30214","1","[{""id"":""0"",""year"":""1999"",""model"":""Montero"",""make"":""Mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
"2024-10-28","Arlington","TX","76011","El Paso","TX","79915","300","[{""id"":""0"",""year"":""2017"",""model"":""Wrangler"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250"",""total"":""550""}]","1","1"
"2024-09-23","Humble","TX","77338","Elgin","IL","60120","500","[{""id"":""0"",""year"":""2024"",""model"":""Sentra"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""800""}]","1","1"
"2024-10-30","York","PA","17404","Chicago","IL","60660","1200","[{""id"":""0"",""year"":""2022"",""model"":""Sprinter"",""make"":""Mercedes-Benz"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1500""}]","1","0"
"2024-09-26","Albuquerque","NM","87106","Olympia","WA","98502","800","[{""id"":""0"",""year"":""2017"",""model"":""Continental 1"",""make"":""Lincoln"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1000""}]","1","1"
"2025-01-23","Mars Hill","NC","28754","Fayetteville","GA","30214","1","[{""id"":""0"",""year"":""1999"",""model"":""Montero"",""make"":""Mitsubishi"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1""}]","1","1"
