"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-03-01","Gary","IN","46408","Indianapolis","IN","46268","150","[{""id"":""0"",""year"":""2005"",""model"":""Grand Prix"",""make"":""Pontiac"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""200.00""}]","1","1"
"2025-04-02","North Platte","NE","69101","Prior Lake","MN","55372","1125","[{""id"":""0"",""year"":""2021"",""model"":""Transit 350"",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""225"",""total"":""1350""}]","1","1"
"2024-05-07","Glenview","IL","60026","South Elgin","IL","60177","300","[{""id"":""0"",""year"":""2018"",""model"":""Promaster 3500"",""make"":""Ram"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""400.00""}]","1","0"
"2024-04-16","Southaven","MS","38671","South Elgin","IL","60177","1000","[{""id"":""0"",""year"":""2022"",""model"":""Transit 350"",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1200.00""}]","1","0"
"2023-10-03","Mahwah","NJ","07430","Southwick","MA","01077","200","[{""id"":""0"",""year"":""2013"",""model"":""Sienna Le"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""250.00"",""plate"":"""",""plate_state_code"":"""",""vin"":""5TDJK3DC1DS059663"",""lot_number"":"""",""color"":""Black""}]","1","1"
"2023-12-14","Burlington","MA","01803","Denver","NC","28037","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":"" F-Pace"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""650.00"",""id"":""e7c118dd_faa6_b65c_ad8e_b3868d6c204a""}]","1","1"
"2023-12-10","Denver","NC","28037","Burlington","MA","01803","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":"" F-Pace"",""make"":""Jaguar"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""200"",""total"":""600.00"",""id"":""e7c118dd_faa6_b65c_ad8e_b3868d6c204a""}]","1","1"
"2023-10-07","South Gate","CA","90280","Vallejo","CA","94589","250","[{""id"":""0"",""year"":""2016"",""model"":""200"",""make"":""Lexus"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""350.00"",""color"":""Red""}]","1","1"
"2025-02-28","Temple","TX","76501","Spicewood","TX","78669","180","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""lot number 84084524  Pin# 88762"",""color"":"""",""year"":""2006"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""230"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-04-04","San Antonio","TX","78224","Spicewood","TX","78669","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"" Lot# 87659905  Pin#74168"",""color"":"""",""year"":""2000"",""model"":""Avalon XL"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""150"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-03-12","Temple","TX","76501","Spicewood","TX","78669","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""lot number 84084524  Pin# 88762"",""color"":"""",""year"":""2006"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-02-28","Grand Prairie","TX","75051","Spicewood","TX","78669","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""Lot# 88273705 Gate pin 94581 "",""color"":"""",""year"":""2004"",""model"":""Ranger Super Cab"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""75"",""total"":""275"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-02-27","Justin","TX","76247","Spicewood","TX","78669","175","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""41573861 Buyer number196856"",""color"":"""",""year"":""2001"",""model"":""Avalon"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""75"",""total"":""250"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2025-02-20","Houston","TX","77038","Spicewood","TX","78669","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""41592233  Buyer 196856"",""color"":"""",""year"":""2002"",""model"":""Avalon"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""75"",""total"":""225"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-02-20","Wilmer","TX","75172","Spicewood","TX","78669","380","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""41084106 Buyer 196856"",""color"":"""",""year"":""2006"",""model"":""Raider"",""make"":""Mitsubishi"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""60"",""total"":""250"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""41301935 Buyer 196856"",""color"":"""",""year"":""2011"",""model"":""Equator"",""make"":""Suzuki"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""60"",""total"":""250"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2025-02-14","San Antonio","TX","78224","Spicewood","TX","78669","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""42192425 Gate pin 21568"",""color"":"""",""year"":""2006"",""model"":""Tundra"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""50"",""total"":""200"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2024-03-15","Wilmer","TX","75172","Spicewood","TX","78669","240","[{""plate"":"""",""plate_state_code"":"""",""vin"":""5TBET34186S550398"",""lot_number"":""STOCK NUMBER: 38600187"",""color"":"""",""year"":""2006"",""model"":""Tundra Sr5 v8"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""60"",""total"":""300"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2025-02-26","Haslet","TX","76052","Spicewood","TX","78669","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""lot number 88948065  gate pin 48742"",""color"":"""",""year"":""2003"",""model"":""Tundra Access CAB Limited "",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""75"",""total"":""275"",""id"":""e139c2d1_c573_23cd_3ec4_b32f1aa73563""}]","1","1"
"2024-05-07","San Antonio","TX","78224","Spicewood","TX","78669","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":""4T1BK3DB6CU473412"",""lot_number"":""Lot# 39039763"",""color"":"""",""year"":""2012"",""model"":""Avalon"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""75"",""total"":""225"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2025-01-16","Justin","TX","76247","Spicewood","TX","78669","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""Lot# 40702778"",""color"":"""",""year"":""2008"",""model"":""Tacoma, Double Cab Prerunner"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""300"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2024-05-09","Houston","TX","77032","Spicewood","TX","78669","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""Lot# 39161126"",""color"":"""",""year"":""2003"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""300"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2024-03-07","Wilmer","TX","75172","Spicewood","TX","78669","240","[{""plate"":"""",""plate_state_code"":"""",""vin"":""5TBET34136S499604"",""lot_number"":""Lot# 38873465"",""color"":"""",""year"":""2006"",""model"":""Tundra Sr5 v8"",""make"":""Toyota"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""60"",""total"":""300"",""id"":""661f5cc2_8210_c6de_e359_a21c5abda450""}]","1","1"
"2023-09-01","Miami","FL","33196","San Antonio","TX","78205","100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2002"",""model"":""F-150 Regular Cab Short Bed"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""100"",""id"":""7f90adfd_aafd_dae5_0235_562a52e1568e""}]","1","1"
"2023-08-31","Lithonia","GA","30038","Marianna","FL","32448","400","[{""id"":""0"",""year"":""2011"",""model"":""Accent"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50.00"",""total"":""450.00""}]","1","0"
"2023-08-01","Carlisle","PA","17015","Yazoo City","MS","39194","900","[{""id"":""0"",""year"":""2018"",""model"":""Discovery"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""250.00"",""total"":""1150.00""}]","1","1"
