"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-10-19","MYRTLE BEACH","SC","29572","GASTONIA","NC","28052","200","[{""id"":""0"",""year"":""2010"",""model"":""CIVIC"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""250""}]","1","1"
"2025-02-20","Charleston","WV","25387","Brooklyn","NY","11240","800","[{""id"":""0"",""year"":""2017"",""model"":""XT5"",""make"":""CADILLAC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""210"",""total"":""1010""}]","1","1"
"2025-04-08","Spring","TX","77373","Tulsa","OK","74105","500","[{""id"":""0"",""year"":""2013"",""model"":""V6"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650""}]","1","1"
"2024-11-07","Atwater","CA","95301","NEWPORT BEACH","CA","92660","300","[{""id"":""0"",""year"":""2024"",""model"":""TUNDRA"",""make"":""TOYOTA"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""400"",""vin"":""""}]","1","1"
"2025-01-09","JACKSONVILLE","FL","32099","Norfolk","VA","23503","600","[{""id"":""0"",""year"":""2013"",""model"":""TUNDRA"",""make"":""TOYOTA"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""600"",""vin"":""5TFEY5F10DX145161""}]","1","1"
"2024-11-15","Manchester","CT","06040","Fort Pierce","FL","34951","475","[{""id"":""0"",""year"":""2001"",""model"":""Zrx1200r "",""make"":""Kawasaki "",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""625""}]","2","1"
"2024-10-30","MEBANE","NC","27302","San Ysidro","CA","92173","1600","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1GTW7AFG0J1912560"",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Savana"",""make"":""GMC"",""type"":""Van"",""recommended_price"":""0"",""deposit"":""200"",""total"":""1700"",""id"":""915b3e34_e1c9_05a1_3828_41da4e976e6e""}]","1","1"
"2024-10-29","Torrance","CA","90501","Roswell","GA","30076","700","[{""id"":""0"",""year"":""2024"",""model"":""INTEGRA"",""make"":""ACURA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""900""}]","1","1"
"2025-02-02","FAIRFIELD","CA","94534","PICO RIVERA","CA","90660","350","[{""id"":""0"",""year"":""2008"",""model"":""CIVIC"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450""}]","1","1"
"2024-12-11","O Fallon","MO","63366","Lincoln","NE","68508","450","[{""id"":""0"",""year"":""2001"",""model"":""Sportster"",""make"":""Harley Davidson"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""525""}]","1","1"
"2024-11-08","Stone Mountain","GA","30087","BATON ROUGE","LA","70807","380","[{""id"":""0"",""year"":""2004"",""model"":""ACCORD"",""make"":""HONDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""480""}]","1","1"
"2024-11-20","Fort Lauderdale","FL","33311","COSTA MESA","CA","92627","800","[{""id"":""0"",""year"":""2023"",""model"":""4RUNNER"",""make"":""TOYOTA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1000"",""vin"":""JTERU5JR4P6202901""}]","1","1"
"2024-12-16","El Cajon","CA","92020","Houston","TX","77035","1400","[{""id"":""0"",""year"":""2018"",""model"":""Nv200 minivan"",""make"":""Nissan"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""900"",""vin"":""""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2022"",""model"":""Telluride"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""150"",""total"":""800"",""id"":""ac8c1fe2_4c3b_8f39_eac4_8f40cab8675e""}]","1","1"
"2024-12-14","PAHRUMP","NV","89061","JESSUP","PA","18434","1050","[{""id"":""0"",""year"":""2006"",""model"":""WRANGLER"",""make"":""JEEP"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1150""}]","1","1"
"2024-12-19","AGUA DULCE","TX","78330","HOUSTON","TX","77063","150","[{""id"":""0"",""year"":""2014"",""model"":""MODEL S"",""make"":""TESLA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""225"",""vin"":""5YJSA1H17EFP63599""}]","1","0"
"2025-04-05","Detroit","MI","48221","Florham Park","NJ","07932","500","[{""id"":""0"",""year"":""2020"",""model"":""BLAZER"",""make"":""CHEVROLET"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650""}]","1","1"
"2025-01-24","Miami","FL","33166","Miami","FL","33186","125","[{""id"":""0"",""year"":""2020"",""model"":""Talon"",""make"":""Honda"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""225""}]","1","1"
"2025-03-24","Elmhurst","IL","60126","Sedalia","MO","65301","375","[{""id"":""0"",""year"":""2018"",""model"":""SQ5"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""375""}]","1","1"
"2025-03-23","TEMPLETON","MA","01468","Richmond","VA","23221","475","[{""id"":""0"",""year"":""1999"",""model"":""RANGER"",""make"":""FORD"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""700""}]","1","1"
"2025-04-08","Dallas","TX","75201","San Antonio","TX","78253","500","[{""id"":""0"",""year"":""2016"",""model"":""Freewheeler"",""make"":""Harley"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""700""}]","2","1"
"2025-04-03","Canton","GA","30114","Gold Hill","NC","28071","100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""crv"",""make"":""Honda"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""250"",""id"":""7771472e_fd06_412d_8527_95634be5684c""}]","1","1"
"2025-03-28","Fort Lauderdale","FL","33301","RIO VISTA","TX","76093","800","[{""id"":""0"",""year"":""2018"",""model"":""FUSION"",""make"":""FORD"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","1"
"2025-04-04","Port Saint Lucie","FL","34986","Miami","FL","33194","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2009"",""model"":""Corolla"",""make"":""toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""a93576c3_d265_0720_d721_d9a32b9e1c60""}]","1","1"
"2024-11-14","Midway","FL","32343","Salinas","CA","93905","1000","[{""id"":""0"",""year"":""2020"",""model"":""MIATA MX-5"",""make"":""MAZDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1200""}]","1","1"
"2024-11-19","GLENDALE","AZ","85302","METAIRIE","LA","70003","800","[{""id"":""0"",""year"":""2011"",""model"":""XJ"",""make"":""JAGUAR"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","1"
"2025-01-15","Norwalk","CA","90650","Portsmouth","VA","23702","1400","[{""id"":""0"",""year"":""2007"",""model"":""FRONTIER"",""make"":""NISSAN"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1400""}]","1","1"
"2025-04-01","Eugene","OR","97401","Odessa","TX","79761","1200","[{""id"":""0"",""year"":""2021"",""model"":""Model S"",""make"":""Tesla"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1600""}]","1","1"
"2025-03-25","Elmhurst","IL","60126","Sedalia","MO","65301","375","[{""id"":""0"",""year"":""2018"",""model"":""SQ5"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""120"",""total"":""495""}]","1","1"
"2025-04-01","Peekskill","NY","10566","Goose Creek","SC","29445","350","[{""id"":""0"",""year"":""1992"",""model"":""Fzr 600r"",""make"":""Yamaha"",""type"":""Motorcycle"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450""}]","2","1"
