"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-01-17","Canyon","TX","79015","Chicago","IL","60007","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":""2T2GA31U94C010404"",""lot_number"":"""",""color"":"""",""year"":""2004"",""model"":""RX"",""make"":""LEXUS"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""600"",""id"":""3bc1b032_209a_9d14_fdad_b67e2c8e4248""}]","1","1"
"2025-02-06","Houston","TX","77007","Santa Clarita","CA","91387","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":""JTJYARBZXH2065533"",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""NX"",""make"":""LEXUS"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""000"",""total"":""450"",""id"":""e7ea41f2_39b2_ce6a_189b_8336abe9c411""}]","1","1"
"2025-01-30","San Leandro","CA","94579","Saint Louis","MO","63111","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":""3N1CN7AP4CL920047"",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Versa"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""00"",""total"":""800"",""id"":""c1526cba_008f_46d0_cd15_3ddc629e55df""}]","1","1"
"2025-01-21","Las Vegas","NV","89143","Fairfield","CA","94533","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1GCHC33J9WF022696"",""lot_number"":"""",""color"":"""",""year"":""1998"",""model"":""GMT-400"",""make"":""CHEVROLET"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""008fd96e_6bec_7f3d_2ab6_137e47b6839b""},{""plate"":"""",""plate_state_code"":"""",""vin"":""KMHCM36C98U071993"",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Accent"",""make"":""HYUNDAI"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""400"",""id"":""c2a7a19c_eac5_725b_e8b2_9094ef121b49""}]","1","1"
"2024-12-16","Bay Village","OH","44140","Fayetteville","NC","28312","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1n6ba07b26n530654"",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Titan"",""make"":""Nissan"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""100"",""total"":""600"",""id"":""b91615f8_1850_41ac_c1d5_346b7cc2a966""}]","1","1"
"2024-12-26","Lincoln","NE","68512","Dayton","OH","45417","600","[{""id"":""0"",""year"":""2005"",""model"":""Express"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""000"",""total"":""600"",""lot_number"":""12157-13743"",""vin"":""1GCHG35U051248147""}]","1","1"
"2025-02-05","Idaho Springs","CO","80452","Wayne","NJ","07470","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1C6RD7FT4CS275358"",""lot_number"":"""",""color"":"""",""year"":""2012"",""model"":""Ram 1500 "",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1100"",""id"":""c51be306_2a1c_740f_1cd5_ef68d2a61d04""}]","1","1"
"2025-01-09","Reno","NV","89506","Chicago","IL","60614","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":""JN8AS5MV6FW255232"",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Rogue Sport"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""1000"",""id"":""74caf5c6_094a_ac43_18f0_06f18ba46b03""}]","1","1"
"2025-01-09","South Burlington","VT","05403","Brooklyn","NY","11229","600","[{""id"":""0"",""year"":""2018"",""model"":""Cooper"",""make"":""Mini"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""600"",""lot_number"":""24021"",""vin"":""a47805""}]","1","1"
"2025-01-09","Princeton","NJ","08540","Plano","TX","75023","800","[{""plate"":"""",""plate_state_code"":"""",""vin"":""5FNRL38409BO48426"",""lot_number"":"""",""color"":"""",""year"":""2009"",""model"":""Odyssey"",""make"":""Honda "",""type"":""Van"",""recommended_price"":""0"",""deposit"":""00"",""total"":""800"",""id"":""e6ed2381_5ac3_3974_36b8_4de3abf0c334""}]","1","1"
