"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-12-31","Englishtown","NJ","07726","Kennedale","TX","76060","750","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""40816096"",""color"":"""",""year"":""2016"",""model"":""Mustang"",""make"":""ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""800"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2023-05-27","Arlington","TX","76002","Garden City","KS","67846","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""35926942"",""color"":"""",""year"":""2018"",""model"":""traverse"",""make"":""Chevy "",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""500"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Envion"",""make"":""Buick"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""500"",""id"":""060e5b95_0893_5aaf_3ba3_19e44e7539b2""}]","1","1"
"2024-09-24","Lorain","OH","44053","Burleson","TX","76028","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""39910567"",""color"":"""",""year"":""2008"",""model"":""Silverado 1500"",""make"":""C"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""50"",""total"":""900"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2024-01-03","Billings","MT","59101","Arlington","TX","76013","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""38100382"",""color"":"""",""year"":""2017"",""model"":""Explorer"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""1150"",""id"":""060e5b95_0893_5aaf_3ba3_19e44e7539b2""}]","1","1"
"2024-01-20","Arlington","TX","76002","Garden City","KS","67846","1000","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Edge"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""550"",""id"":""060e5b95_0893_5aaf_3ba3_19e44e7539b2""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Explorer"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""550"",""id"":""e32c3460_1168_9ee0_836d_555064fa4edb""}]","1","1"
"2023-08-17","Knoxville","TN","37914","Arlington","TX","76013","650","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""36933972"",""color"":"""",""year"":""2017"",""model"":""Sorento"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""700"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2023-04-17","Garden City","KS","67846","Burleson","TX","76028","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""35926942"",""color"":"""",""year"":""2018"",""model"":""Equinox"",""make"":""Chevy "",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""550"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2023-08-12","Arlington","TX","76002","Dodge City","KS","67801","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""35926942"",""color"":"""",""year"":""2018"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""50"",""total"":""550"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2023-04-24","Lincoln","AR","72744","Burleson","TX","76028","300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""35344601"",""color"":"""",""year"":""2017"",""model"":"" envision "",""make"":"" Buick"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""350"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
"2023-05-01","Lubbock","TX","79415","Burleson","TX","76028","300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":""35690392"",""color"":"""",""year"":""2019"",""model"":""traverse"",""make"":""Chevy"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""350"",""id"":""2ed2efc1_8fe1_f6b6_1be0_679950e0bdac""}]","1","1"
