"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-02-18","Huntington","NY","11743","Sugar Land","TX","77498","1300","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""E Klasse And Predecessors"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1300"",""id"":""f9eff08e_ddcd_02a5_c67f_1ae7849b418d""}]","2","1"
"2025-02-10","KANSAS CITY","KS","66111","PHARR","TX","78577","1100","[{""id"":""0"",""year"":""2016"",""model"":""F350"",""make"":""FORD"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1100""}]","1","1"
"2025-02-04","Chesapeake","VA","23320","Katy","TX","77493","850","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""Suburban"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""850"",""id"":""97e26d95_e432_27e3_1483_aa2902beffbd""}]","1","1"
"2025-03-12","Indianapolis","IN","46217","Pfafftown","NC","27040","350","[{""id"":""0"",""year"":""2017"",""model"":""IONIQ HYBRID"",""make"":""HYUNDAI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""350""}]","1","1"
"2021-02-15","New York","NY","10001","Boulder","CO","80301","9","[{""id"":""1"",""year"":""2015"",""model"":""F150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""1"",""total"":""10""}]","1","1"
"2025-03-05","Garland","TX","75041","Katy","TX","77494","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""X3"",""make"":""Bmw"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""2590d1c2_4c16_fa36_ce3d_a3a59e13bdc2""}]","1","1"
"2025-03-18","Oklahoma City","OK","73131","Houston","TX","77040","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Outback"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""86c0de15_9f48_7bf7_1a8f_b4c99a633e81""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Outback"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""350"",""id"":""649e9897_5c62_3be5_9207_0e5056561db1""}]","1","1"
"2025-02-05","PHOENIX","AZ","85083","LITTLETON","CO","80127","500","[{""id"":""0"",""year"":""2017"",""model"":""SPORTAGE"",""make"":""KIA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""500""}]","1","1"
"2025-02-27","Agoura Hills","CA","91301","Auburn","WA","98092","650","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2024"",""model"":""ss"",""make"":""Camaro"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""650"",""id"":""0fe56933_7ad8_132a_8ddd_a7230d0990f2""}]","1","1"
"2025-03-06","Houston","TX","77094","El Paso","TX","79938","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""EZ"",""make"":""Hummber"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":""0"",""total"":""450"",""id"":""d143298a_9b87_ca0a_9eb8_7aa3a09927a5""}]","1","1"
"2025-03-25","Durham","NC","27704","Medford","OR","97504","1500","[{""id"":""0"",""year"":""2004"",""model"":""Titan"",""make"":""Nissan"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1500""}]","1","1"
"2025-03-06","Houston","TX","77094","Saint Rose","LA","70087","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Sierra"",""make"":""Gmc"",""type"":""Pickup"",""recommended_price"":""0"",""deposit"":"""",""total"":""500"",""id"":""f08e863a_5d18_e283_2313_c994049e1f37""}]","1","1"
"2025-03-13","Houston","TX","77094","Pinetop","AZ","85935","500","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Atlas"",""make"":""Volkswagen"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""500"",""id"":""1572e42e_d58f_d6d6_d83c_9203b645efdf""}]","1","1"
"2025-03-21","GAITHERSBURG","MD","20879","Chino Hills","CA","91709","850","[{""id"":""0"",""year"":""2025"",""model"":""telluride"",""make"":""KIA"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""850""}]","1","1"
"2025-03-09","Rosenberg","TX","77471","Mckinney","TX","75070","200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""escape "",""make"":""ford "",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""571411eb_f6f8_c74c_93e9_fa7ad39944e4""}]","1","1"
"2025-02-13","Plano","TX","75093","Houston","TX","77040","220","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Forester"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""220"",""id"":""ddb03494_65bd_734b_88b5_06d5225eb37f""}]","1","1"
"2025-04-09","Gaithersburg","MD","20879","Savoy","IL","61874","550","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Carnival Hybrid"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""550"",""id"":""a56e34e6_b898_ddcf_03ea_de0db21d8783""}]","1","1"
"2025-02-12","Houston","TX","77040","Plano","TX","75093","150","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2025"",""model"":""Forester"",""make"":""Subaru"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""150"",""id"":""ddb03494_65bd_734b_88b5_06d5225eb37f""}]","1","1"
"2025-03-25","WINTER HAVEN","FL","33881","LAKELAND","FL","33811","100","[{""id"":""0"",""year"":""2012"",""model"":""MALIBU"",""make"":""CHEVROLET"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""100""}]","1","1"
"2025-03-13","NEW SMYRNA BEACH","FL","32168","WOODS CROSS","UT","84087","1000","[{""id"":""0"",""year"":""2019"",""model"":""CX-5"",""make"":""MAZDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1000""}]","1","1"
"2025-03-24","Rosenberg","TX","77471","Chicago","IL","60618","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2019"",""model"":""E300"",""make"":""Mercedes Benz"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""450"",""id"":""88f11721_8896_1f02_dc23_1a4b89da9b47""}]","1","1"
"2025-03-12","Houston","TX","77095","Junction","TX","76849","600","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2023"",""model"":""Bronco"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""300"",""id"":""0fc5a431_3123_a763_4392_4df6e80e3c8f""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2021"",""model"":""Bronco"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""300"",""id"":""73376eac_a42d_a807_23b3_c5188c84a8d6""}]","1","1"
"2025-03-29","Scottsdale","AZ","85259","San Francisco","CA","94103","450","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2014"",""model"":""RX450H"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""450"",""id"":""0febd9d0_3b1a_4c8e_d66e_19cd53f207b8""}]","1","1"
"2025-03-25","MINNEAPOLIS","MN","55416","SANDY","UT","84094","600","[{""id"":""0"",""year"":""2019"",""model"":""CX-5"",""make"":""MAZDA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""600""}]","1","1"
"2025-03-19","Katy","TX","77494","Howell","MI","48843","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2022"",""model"":""Challenger srt"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1100"",""id"":""6365ed3e_3d70_e404_ae28_096b9f82adf8""}]","2","1"
