"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2021-07-29","Conshohocken","PA","19428","Mansfield","TX","76063","1000.00","[{""id"":""1"",""year"":""2016"",""model"":""200"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""1185.00"",""color"":""Lt Gray"",""plate"":"""" ,""vin"":""1C3CCCAG7GN183805"",""plate_state_code"":"""" ,""lot_number"":""3XQSCI21046""}]","1","1"
"2021-08-11","Westminster","MD","21157","Pittsford","NY","14534","350.00","[{""id"":""1"",""year"":""2017"",""model"":""Range Rover Sport"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""490.00"",""color"":"""",""plate"":"""" ,""vin"":""SALWR2FE5HA146519"",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-08-05","Odessa","TX","79764","Missouri City","TX","77459","550.00","[{""id"":""1"",""year"":""2018"",""model"":""Transit-150"",""make"":""Ford"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""985.00"",""color"":""White"",""plate"":""PMB8877"" ,""vin"":""1FTYE1CM9JKA41516"",""plate_state_code"":"""" ,""lot_number"":""""}]","1","0"
"2021-07-30","Wilmer","TX","75172","Charlotte","NC","28212","550.00","[{""id"":""1"",""year"":""2014"",""model"":""Equinox"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""735.00"",""color"":""Red"",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-07-29","Irving","TX","75061","Marlborough","MA","01752","4000.00","[{""id"":""1"",""year"":""2011"",""model"":""Cooper"",""make"":""MINI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""WMWSV3C54BTY23631"",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""2"",""year"":""2018"",""model"":""Accent"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""3KPC24A34JE012099"",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""3"",""year"":""2016"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""1N4AL3AP2GC185899"",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""4"",""year"":""2013"",""model"":""Terrain"",""make"":""GMC"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""2GKALUEK2D6389304"",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""5"",""year"":""2011"",""model"":""GLK"",""make"":""Mercedes-Benz"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""WDCGG5GB0BF692897"",""plate_state_code"":"""" ,""lot_number"":""""},{""id"":""6"",""year"":""2012"",""model"":""F-150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""800.00"",""color"":"""",""plate"":"""" ,""vin"":""1FTFW1ET5CFA20182"",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-07-30","Lugoff","SC","29078","Crete","NE","68333","1050.00","[{""id"":""1"",""year"":""2009"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""1285.00"",""color"":""Blue"",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-09-01","Bridgeton","MO","63044","Dallas","TX","75237","700.00","[{""id"":""1"",""year"":""2018"",""model"":""Soul"",""make"":""Kia"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""985.00"",""color"":""Gray"",""plate"":"""" ,""vin"":""KNDJP3A56J7612580"",""plate_state_code"":"""" ,""lot_number"":""""}]","1","0"
"2021-08-12","Pottstown","PA","19464","Bridgeport","CT","06604","250.00","[{""id"":""1"",""year"":""2006"",""model"":""Magnum"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""535.00"",""color"":""Steel Grey"",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-08-09","Lugoff","SC","29078","Seymour","IN","47274","550.00","[{""id"":""1"",""year"":""1968"",""model"":""C10"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""730.00"",""color"":""Black"",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
"2021-08-12","Fayetteville","NC","28304","Garland","TX","75044","750.00","[{""id"":""1"",""year"":""2004"",""model"":""Beetle"",""make"":""VW"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0.00"",""total"":""1085.00"",""color"":""Blue"",""plate"":"""" ,""vin"":"""",""plate_state_code"":"""" ,""lot_number"":""""}]","1","1"
