"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-12-04","JOHNSON CITY","TN","37601","PORT ORANGE","FL","32129","650","[{""year"":2015,""make"":""Nissan "",""model"":""Altima "",""plate"":"""",""plate_state_code"":"""",""recommended_price"":0,""vin"":"""",""lot_number"":"""",""color"":"""",""type"":""Car"",""deposit"":""100"",""total"":""700"",""id"":""""}]","1","1"
"2024-12-06","Columbus","OH","43212","LONG BEACH","NY","11561","500","[{""year"":2020,""make"":""Mercedes Benz"",""model"":""GLB-Class"",""plate"":"""",""plate_state_code"":"""",""recommended_price"":0,""vin"":"""",""lot_number"":"""",""color"":"""",""type"":""SUV"",""deposit"":""200"",""total"":""700"",""id"":""""}]","1","1"
"2024-09-26","Florence","SC","29501","Raleigh","NC","27610","300","[{""id"":""0"",""year"":""2005"",""model"":""TL"",""make"":""Acura"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""450""}]","1","0"
"2024-09-30","Indianapolis","IN","46241","Grand Prairie","TX","75050","600","[{""id"":""0"",""year"":""2015"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""700""}]","1","1"
"2024-09-27","Magnolia","TX","77354","Irving","TX","75060","250","[{""id"":""0"",""year"":""2002"",""model"":""Silverado 1500"",""make"":""Chevrolet"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""350""}]","1","1"
"2024-09-28","Nicholson","PA","18446","Newark","DE","19702","300","[{""id"":""0"",""year"":""2019"",""model"":""Frontier"",""make"":""Nissan"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""500""}]","1","0"
"2024-09-30","Maricopa","AZ","85138","Mission","TX","78573","700","[{""id"":""0"",""year"":""2008"",""model"":""xD"",""make"":""Scion"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""950""}]","1","1"
"2024-10-01","Coralville","IA","52241","Harlowton","MT","59036","1500","[{""id"":""0"",""year"":""2000"",""model"":""Express 3500"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""2000""}]","1","1"
"2024-10-08","Dickinson","TX","77539","Pasco","WA","99301","1400","[{""id"":""0"",""year"":""2019"",""model"":""F250"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1700""}]","1","1"
"2024-10-01","Jonesboro","AR","72401","Eastlake","OH","44095","700","[{""id"":""0"",""year"":""2015"",""model"":""300"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""800""}]","2","1"
"2024-10-03","Roswell","GA","30076","Oviedo","FL","32765","300","[{""id"":""0"",""year"":""2024"",""model"":""Palisade"",""make"":""Hyundai"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""325""}]","1","1"
