"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-05-23","ALEXANDRIA","VA","22306","Bronx","NY","10456","300.00","[{""id"":""0"",""year"":""2016"",""model"":""CAMRY"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""400.00""}]","1","0"
"2023-06-06","Bridgeton","MO","63044","Bloomington","IL","61704","250","[{""id"":""0"",""year"":""2010"",""model"":""Q5"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""45.00"",""total"":""295.00""}]","1","1"
"2023-05-18","Lawrenceville","GA","30043","Homestead","FL","33033","400","[{""id"":""0"",""year"":""2016"",""model"":""Charger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500""}]","1","1"
"2023-05-22","Durham","NC","27713","Austin","TX","78726","850","[{""id"":""0"",""year"":""2015"",""model"":""A5 Convertible"",""make"":""Audi"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""950""}]","1","1"
"2023-05-22","Corpus Christi","TX","78417","Seagoville","TX","75159","350.00","[{""id"":""0"",""year"":""1973"",""model"":""Duster"",""make"":""Plymouth"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""95"",""total"":""420.00"",""color"":""yellow""}]","1","1"
"2023-05-27","Palm Bay","FL","32908","West Hempstead","NY","11552","800.00","[{""id"":""0"",""year"":""2016"",""model"":""Renegade"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""900.00""}]","1","1"
"2023-05-26","Cleveland","OH","44129","Purcellville","VA","20132","400.00","[{""id"":""0"",""year"":""2015"",""model"":""LR4"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""550.00""}]","1","1"
"2023-05-26","Knoxville","TN","37909","Rocky Mount","NC","27804","450.00","[{""id"":""0"",""year"":""2006"",""model"":""MINI COOPER "",""make"":""Mini"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""550""}]","1","1"
"2023-05-31","Ithaca","NY","14850","Detroit","MI","48228","400","[{""id"":""0"",""year"":""2005"",""model"":""A5"",""make"":""AUDI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""550.00""}]","1","1"
"2023-07-03","East Falmouth","MA","02536","North Hollywood","CA","91601","1375","[{""id"":""0"",""year"":""2020"",""model"":""COMPASS"",""make"":""JEEP"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1575""}]","1","1"
"2023-05-31","Southington","CT","06489","Santa Clara","CA","95051","1100","[{""id"":""0"",""year"":""2018"",""model"":""S450"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1200""}]","1","1"
"2023-06-05","Columbus","OH","43207","Hialeah","FL","33012","525.00","[{""id"":""0"",""year"":""2011"",""model"":""Prius"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""625""}]","1","1"
"2023-06-05","TORRANCE","CA","90502","SAN ANTONIO","TX","78232","1100.00","[{""id"":""0"",""year"":""2016"",""model"":""TRANSIT VAN"",""make"":""FORD"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1300""}]","1","1"
"2023-06-12","LIBERAL","KS","67901","NEW BLOOMFIELD","MO","65063","400","[{""id"":""0"",""year"":""2013"",""model"":""ELANTRA"",""make"":""HYUNDAI"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""550.00"",""color"":""silver""}]","1","1"
"2023-06-09","Miami","FL","33137","Thomasville","GA","31792","450.00","[{""id"":""0"",""year"":""2018"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""600""}]","1","1"
"2023-06-08","AURORA","CO","80013","LOS ANGELES","CA","90034","400","[{""id"":""0"",""year"":""2020"",""model"":""COROLLA"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""500"",""color"":""blue"",""vin"":""040896""}]","1","1"
"2023-06-08","Denver","CO","80210","Atlanta","GA","30360","700","[{""id"":""0"",""year"":""2017"",""model"":""X3"",""make"":""BMW"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""850.00""}]","1","1"
"2023-06-06","Gainesville","GA","30506","Los Angeles","CA","90017","1400","[{""id"":""0"",""year"":""2015"",""model"":""Ghibli III"",""make"":""Maserati"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1700"",""color"":""Black""}]","2","1"
"2023-06-13","Sun City West","AZ","85375","Panama City Beach","FL","32413","1200","[{""id"":""0"",""year"":""2022"",""model"":""Golf car small "",""make"":""4 seater Golf car"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""1350.00""}]","2","1"
"2023-05-31","AKRON","OH","44305","NASHVILLE","TN","37210","475","[{""id"":""0"",""year"":""2023"",""model"":""SOUL"",""make"":""KIA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150.00"",""total"":""600""}]","1","1"
"2023-07-06","Atlanta","GA","30342","Gainesville","FL","32609","300","[{""id"":""0"",""year"":""2016"",""model"":""Sonata"",""make"":""Hyundai"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""350.00""}]","1","0"
"2023-06-16","Fremont","CA","94539","Las Vegas","NV","89166","475.00","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":""RED"",""year"":""2017"",""model"":""M4"",""make"":""Bmw"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""125.00"",""total"":""600.00"",""id"":""5954aa98_de64_375f_f2ea_ba1f7a9588bd""}]","1","1"
"2023-06-08","DANVILLE","PA","17821","TAMPA","FL","33613","475","[{""id"":""0"",""year"":""2010"",""model"":""PRIUS"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""175"",""total"":""650.00""}]","1","1"
"2023-07-21","AUSTIN","TX","73301","MILPITAS","CA","95035","700","[{""id"":""0"",""year"":""2012"",""model"":""PRIUS V"",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""850""}]","1","1"
"2023-06-13","Grapevine","TX","76051","NEW BRAUNFELS","TX","78132","250","[{""id"":""0"",""year"":""1997"",""model"":""aristo "",""make"":""TOYOTA"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100.00"",""total"":""350.00"",""vin"":""jzs1610006224""}]","1","1"
"2023-06-12","Edinburg","TX","78541","Dallas","TX","75254","250","[{""id"":""0"",""year"":""1999"",""model"":""Accord"",""make"":""Honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""95"",""total"":""345"",""color"":""DARK GREEN ""}]","1","1"
"2023-05-26","TORRANCE","CA","90502","SAN ANTONIO","TX","78232","1100.00","[{""id"":""0"",""year"":""2016"",""model"":""TRANSIT VAN"",""make"":""FORD"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1300""}]","1","1"
"2023-06-02","MACON","GA","31210","JUPITER","FL","33458","325","[{""id"":""0"",""year"":""2014"",""model"":""QX70"",""make"":""INFINITI"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""475"",""plate_state_code"":"""",""vin"":""450744"",""color"":""Blue""}]","1","1"
"2023-06-28","Las Vegas","NV","89128","Detroit","MI","48214","1200","[{""id"":""0"",""year"":""2004"",""model"":""Expedition"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1200""}]","1","1"
