"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2024-12-06","Tempe","AZ","85284","Federal Way","WA","98003","600","[{""id"":""0"",""year"":""2023"",""model"":""Sportage"",""make"":""kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""650""}]","1","1"
"2024-12-16","Escondido","CA","92029","Seffner","FL","33584","1800","[{""id"":""0"",""year"":""2012"",""model"":""Prius"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1000""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2018"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""950"",""id"":""b189ab3d_ddcb_2307_0402_70a9760c4204""}]","1","1"
"2024-12-06","San Antonio","TX","78210","Federal Way","WA","98023","900","[{""id"":""0"",""year"":""2010"",""model"":""Traverse"",""make"":""chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""1200""}]","1","1"
"2024-12-13","Miami","FL","33169","Denver","CO","80205","700","[{""id"":""0"",""year"":""2024"",""model"":""XC90"",""make"":""Volvo"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""800""}]","1","1"
"2024-12-06","Thomasville","GA","31792","Portland","OR","97229","1050","[{""id"":""0"",""year"":""2016"",""model"":""Charger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""1150""}]","1","1"
"2024-12-02","Modesto","CA","95356","Odessa","TX","79765","900","[{""id"":""0"",""year"":""2023"",""model"":""Accord"",""make"":""honda"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1000""}]","1","1"
"2024-12-13","Satellite Beach","FL","32937","Creswell","OR","97426","1400","[{""id"":""0"",""year"":""2010"",""model"":""RX"",""make"":""350"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1525""}]","1","1"
"2024-12-07","Saint Charles","IL","60174","Nashville","TN","37211","500","[{""id"":""0"",""year"":""2016"",""model"":""RX"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""550""}]","1","1"
"2024-11-14","Laurinburg","NC","28352","Strasburg","OH","44680","650","[{""id"":""0"",""year"":""2021"",""model"":""Telluride"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""00"",""total"":""700""}]","1","0"
"2024-12-14","Kissimmee","FL","34758","Tampa","FL","33603","125","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""expedition"",""make"":""ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""200"",""id"":""bfbcd4fb_e79b_67b7_4487_f83c09bba978""}]","1","1"
