"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-06-27","ELKHART","IN","46517","Council Bluffs","IA","51503","500","[{""id"":""0"",""year"":""2021"",""model"":""1500"",""make"":""GMC"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650.00""}]","1","1"
"2023-06-20","New Hartford","CT","06057","Fredericktown","OH","43019","450","[{""id"":""0"",""year"":""2002"",""model"":""Dakota"",""make"":""Dodge"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""600.00""}]","1","1"
"2023-06-27","Mount Vernon","WA","98273","LACEY","WA","98503","350","[{""id"":""0"",""year"":""1996"",""model"":""Astro Van"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""425.00""}]","1","1"
"2023-08-01","Camdenton","MO","65020","Nottingham","PA","19362","650","[{""id"":""0"",""year"":""1985"",""model"":""Thunderbird"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""800.00""}]","1","1"
"2023-06-29","Chula Vista","CA","91910","Alameda","CA","94501","300","[{""id"":""0"",""year"":""2012"",""model"":""Sentra"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""400.00""}]","1","1"
"2024-02-12","Bradenton","FL","34203","Opa Locka","FL","33054","200","[{""id"":""0"",""year"":""2013"",""model"":""300"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""275.00""}]","1","0"
"2023-12-04","Murrieta","CA","92563","Virginia Beach","VA","23464","950","[{""id"":""0"",""year"":""2009"",""model"":""Flex"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1100.00""}]","1","1"
"2023-07-13","Austin","TX","78723","Dallas","TX","75216","250","[{""id"":""0"",""year"":""2008"",""model"":""Sky"",""make"":""Saturn"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""450.00""}]","1","0"
"2023-07-28","SAINT PAUL","MN","55102","Hokah","MN","55941","270","[{""id"":""0"",""year"":""2011"",""model"":""Wrangler 2 Door"",""make"":""Jeep"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""370.00""}]","1","0"
"2023-07-20","Langhorne","PA","19047","Toronto","OH","43964","350","[{""id"":""0"",""year"":""2014"",""model"":""Sentra"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450.00""}]","1","1"
"2023-07-24","Santa Rosa","CA","95405","Fontana","CA","92336","350","[{""id"":""0"",""year"":""1989"",""model"":""Corvette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""350.00""}]","1","1"
"2023-07-25","Rockford","IL","61109","Wilmington","DE","19801","400","[{""id"":""0"",""year"":""2000"",""model"":""300M"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""550.00""}]","1","1"
"2023-11-18","Indian Trail","NC","28079","Stockbridge","GA","30281","1100","[{""id"":""0"",""year"":""1989"",""model"":""p30"",""make"":""Chevrolet"",""type"":""RV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""650.00""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1996"",""model"":""p30"",""make"":""Chevrolet"",""type"":""RV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""650.00"",""id"":""bd438241_3bca_d23b_a00e_35209fe2f49a""}]","1","0"
"2023-07-25","Waldorf","MD","20603","Fallbrook","CA","92028","950","[{""id"":""0"",""year"":""2017"",""model"":""MUSTANG"",""make"":""FORD"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1150.00""}]","1","1"
"2024-01-04","Minneapolis","MN","55427","Jacksonville","FL","32202","1800","[{""id"":""0"",""year"":""2015"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1000.00""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2008"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""1000.00"",""id"":""32cfc6af_852a_e25b_db1d_f006cdfc8748""}]","1","1"
