"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-04-07","Merrillville","IN","46410","Matteson","IL","60443","130","[{""id"":""0"",""year"":""2015"",""model"":""MKZ"",""make"":""Lincoln"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""180""}]","1","1"
"2024-08-24","San Jose","CA","95139","Lutherville Timonium","MD","21093","1200","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2016"",""model"":""Corolla"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""1300"",""id"":""d9b85e5a_91a1_2eb8_75a8_aa23c0031f49""}]","1","1"
"2024-09-26","Indianapolis","IN","46280","Chicago","IL","60644","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":""5LMCJ1A9XFUJ14451"",""lot_number"":"""",""color"":"""",""year"":""2015"",""model"":""Mkc"",""make"":""Lincoln"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""350"",""id"":""95833ce0_c2f7_ca4b_37f6_57f24f91a9cc""}]","1","1"
"2025-04-10","Urbandale","IA","50322","Chicago","IL","60644","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":""1FMCU9G99HUD11100"",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Escape"",""make"":""Ford"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""0"",""total"":""250"",""id"":""caa996f4_b9ef_491e_10e0_ea7cab9fde65""},{""plate"":"""",""plate_state_code"":"""",""vin"":""3FAHPOJAXBR180571"",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Fusion"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""0"",""total"":""250"",""id"":""af0b8c92_0a38_b288_95e0_e352c377198d""}]","1","1"
"2025-04-04","Smithtown","NY","11787","Chicago","IL","60644","1100","[{""plate"":"""",""plate_state_code"":"""",""vin"":""2B3KA43G26H293928"",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""Charger"",""make"":""DODGE"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""100"",""total"":""650"",""id"":""7e2444f8_a470_dfd7_de73_44c270259987""},{""plate"":"""",""plate_state_code"":"""",""vin"":""WA1CKAFPXAA077188"",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""Q5"",""make"":""AUDI"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""100"",""total"":""650"",""id"":""8946a21d_faeb_6dd7_3a3b_e6e481b609c3""}]","1","1"
"2025-04-08","Baldwin Park","CA","91706","Las Vegas","NV","89107","250","[{""id"":""0"",""year"":""1995"",""model"":""Integra"",""make"":""Acura"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""350"",""vin"":""JH4DC4351SS039418""}]","1","1"
"2025-01-21","Finksburg","MD","21048","Rowlett","TX","75089","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2011"",""model"":""Sonata"",""make"":""Hyundai "",""type"":""Car"",""recommended_price"":""0"",""deposit"":""00"",""total"":""750"",""id"":""cf2a8380_1f4c_a950_214b_513d5c289658""}]","1","1"
"2025-02-01","Mcallen","TX","78504","Hayward","CA","94541","900","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""1972"",""model"":""Chevelle"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""120"",""total"":""1020"",""id"":""203f26fd_3a08_2b30_59a6_1653958dd4ac""}]","1","1"
"2025-04-07","Fayetteville","NC","28314","White","GA","30184","575","[{""id"":""0"",""year"":""1966"",""model"":""Corvette"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""725""}]","1","0"
"2025-03-22","Orlando","FL","32808","Alexandria","VA","22306","500","[{""id"":""0"",""year"":""1995"",""model"":""Jimmy"",""make"":""Gmc"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""700"",""vin"":""1GKDT13W3SK536855""}]","1","1"
