"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2022-07-01","Chandler","IN","47610","Hurlock","MD","21643","500","[{""id"":""0"",""year"":""2000"",""model"":""vintage"",""make"":""Polaris"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""650.00""}]","1","1"
"2022-09-19","Acworth","GA","30101","Stapleton","GA","30823","200","[{""id"":""0"",""year"":""1967"",""model"":""Impala"",""make"":""Chevrolet"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""300.00""}]","1","1"
"2022-09-23","Clinton","WA","98236","Round Mountain","TX","78663","2700","[{""id"":""0"",""year"":""2019"",""model"":""1025R"",""make"":""John Deere"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""500"",""total"":""3200.00""}]","1","1"
"2024-11-25","Forney","TX","75126","Houston","TX","77092","200","[{""id"":""0"",""year"":""2017"",""model"":""Charger"",""make"":""Dodge"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""250""}]","1","0"
"2024-12-20","Jamaica Plain","MA","02130","Golden","CO","80401","975","[{""id"":""0"",""year"":""2024"",""model"":""MDX AWD"",""make"":""Acura"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""225"",""total"":""1200""}]","1","1"
"2025-01-07","Melbourne Beach","FL","32951","Broad Brook","CT","06016","450","[{""id"":""0"",""year"":""2010"",""model"":""GTI"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""500""}]","1","1"
"2025-03-21","El Paso","TX","79928","Houston","TX","77083","350","[{""id"":""0"",""year"":""2005"",""model"":""Crossfire"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""75"",""total"":""425""}]","1","1"
"2022-06-20","Sturtevant","WI","53177","Parker","AZ","85344","2700","[{""id"":""0"",""year"":""2017"",""model"":""Hemisphere 272RL  RV Trailer"",""make"":""Forest River"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""300"",""total"":""3000.00""}]","1","1"
"2022-06-22","Loganville","GA","30052","Bowling Green","KY","42101","875","[{""id"":""0"",""year"":""2018"",""model"":""GX"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""75.00"",""total"":""500.00""},{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2017"",""model"":""Rover"",""make"":""Range"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""50"",""total"":""500.00"",""id"":""1eb54dba_eab1_1924_0e30_1a96a4706c59""}]","1","1"
"2022-06-29","Miami Beach","FL","33139","Kohler","WI","53044","1200","[{""id"":""0"",""year"":""2013"",""model"":""GranTurismo"",""make"":""Maserati"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""200"",""total"":""1400.00""}]","2","1"
"2022-06-22","Warner Robins","GA","31098","Nesconset","NY","11767","700","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""Altima"",""make"":""Nissan"",""type"":""Car"",""recommended_price"":""0"",""deposit"":""107"",""total"":""807"",""id"":""76273821_57c6_c8c7_4c39_7a7cf58d8136""}]","1","1"
"2022-06-25","Selbyville","DE","19975","Pasadena","MD","21122","200","[{""id"":""0"",""year"":""2000"",""model"":""EZGO"",""make"":""EZGO"",""type"":""Other"",""recommended_price"":""0.00"",""deposit"":""107"",""total"":""227.00""}]","1","1"
"2022-06-21","Nesconset","NY","11767","Warner Robins","GA","31088","700","[{""id"":""0"",""year"":""2021"",""model"":""Camry"",""make"":""Toyota"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""107"",""total"":""800.00""}]","1","1"
