"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2023-07-21","Cathedral City","CA","92234","New Braunfels","TX","78130","900","[{""id"":""0"",""year"":""2018"",""model"":""GX 460"",""make"":""Lexus"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""1000""}]","1","1"
"2025-03-25","Clifton","NJ","07012","Lorain","OH","44053","300","[{""id"":""0"",""year"":""2012"",""model"":""Equinox"",""make"":""Chevrolet"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""450""}]","1","1"
"2023-08-30","Amarillo","TX","79101","Greenville","SC","29615","800","[{""id"":""0"",""year"":""2006"",""model"":""300C"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""950""}]","1","1"
"2024-12-05","Orlando","FL","32839","Bremerton","WA","98310","1000","[{""id"":""0"",""year"":""2016"",""model"":""Mustang"",""make"":""Ford"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""500"",""total"":""1500""}]","1","1"
"2024-10-02","Brentwood","CA","94513","Westminster","CO","80030","800","[{""id"":""0"",""year"":""1993"",""model"":""Land Cruiser"",""make"":""Toyota"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1200""}]","1","1"
"2023-09-23","Toledo","OH","43612","Rockford","IL","61101","400","[{""id"":""0"",""year"":""2016"",""model"":""200"",""make"":""Chrysler"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""450""}]","1","1"
"2023-09-20","Gainesville","FL","32601","Key West","FL","33040","450","[{""id"":""0"",""year"":""2001"",""model"":""Ranger"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""500""}]","1","0"
"2023-11-06","Maiden Rock","WI","54750","Keystone Heights","FL","32656","1000","[{""id"":""0"",""year"":""1961"",""model"":""Corvair Wagon"",""make"":""Chevrolet"",""type"":""Van"",""recommended_price"":""0.00"",""deposit"":""400"",""total"":""1400""}]","1","0"
"2023-10-16","Jacksonville","FL","32211","Murfreesboro","TN","37128","350","[{""id"":""0"",""year"":""2023"",""model"":""Cla-Class"",""make"":""Mercedes-Benz"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""100"",""total"":""450""}]","1","1"
"2024-10-08","Indio","CA","92201","Scottsdale","AZ","85260","400","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""H1T"",""make"":""Hummer"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""300"",""total"":""700"",""id"":""a8654d1a_4c6c_43b7_9366_b9b893596a8d""}]","1","1"
"2023-12-13","Marana","AZ","85653","Raleigh","NC","27617","900","[{""id"":""0"",""year"":""2018"",""model"":""Rogue"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""1000""}]","1","1"
