"first_pickup_date","pickup_city","pickup_state_code","pickup_zip","dropoff_city","dropoff_state_code","dropoff_zip","price_carrier_total","vehicles","ship_via_id","vehicle_runs"
"2025-02-11","Crestview hills","KY","41017","Naples","FL","34116","425","[{""id"":""0"",""year"":""1992"",""model"":""Corrado"",""make"":""Volkswagen"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""450""}]","1","1"
"2024-12-09","Farmington","MI","48335","Mobile","AL","36607","850","[{""id"":""0"",""year"":""2014"",""model"":""Rogue"",""make"":""Nissan"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""925""}]","1","1"
"2025-04-08","Knightdale","NC","27545","Sumter","SC","29150","225","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2010"",""model"":""Range Rover"",""make"":""Land Rover"",""type"":""SUV"",""recommended_price"":""0"",""deposit"":""00"",""total"":""250"",""id"":""6c79fb55_5c4d_4d14_ef0b_602a27eeddf3""}]","1","1"
"2025-04-07","Swansea","SC","29160","Knoxville","TN","37921","250","[{""plate"":"""",""plate_state_code"":"""",""vin"":"""",""lot_number"":"""",""color"":"""",""year"":""2006"",""model"":""azera"",""make"":""hyundai "",""type"":""Car"",""recommended_price"":""0"",""deposit"":""125"",""total"":""375"",""id"":""c52687b7_cd46_4745_5381_693c5faf0731""}]","1","1"
"2025-04-07","Malvern","AR","72104","Memphis","TN","38125","275","[{""id"":""0"",""year"":""2005"",""model"":""Lacrosse"",""make"":""Buick"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""70"",""total"":""345""}]","1","1"
"2025-04-03","Oxnard","CA","93036","Houston","TX","77070","900","[{""id"":""0"",""year"":""2007"",""model"":""G35"",""make"":""Infiniti"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1050""}]","1","1"
"2025-03-03","Fort Lauderdale","FL","33312","Jacksonville Beach","FL","32240","250","[{""id"":""0"",""year"":""2010"",""model"":""LaCrosse"",""make"":""Buick"",""type"":""Car"",""recommended_price"":""0.00"",""deposit"":""70"",""total"":""320""}]","1","1"
"2025-03-25","East Stroudsburg","PA","18301","Newark","NJ","07114","250","[{""id"":""0"",""year"":""2011"",""model"":""F150"",""make"":""Ford"",""type"":""Pickup"",""recommended_price"":""0.00"",""deposit"":""50"",""total"":""300""}]","1","1"
"2025-04-07","New Stanton","PA","15672","Pittsburgh","PA","15120","225","[{""id"":""0"",""year"":""2010"",""model"":""Escalade"",""make"":""Cadillac"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""0"",""total"":""225""}]","1","0"
"2025-03-31","Cottage Grove","OR","97424","Grand Island","NE","68803","1000","[{""id"":""0"",""year"":""2015"",""model"":""Sorento"",""make"":""Kia"",""type"":""SUV"",""recommended_price"":""0.00"",""deposit"":""150"",""total"":""1150""}]","1","1"
