pickup_zip,dropoff_zip,distance_miles
4947,24818,781.8
24818,4947,781.8
4947,57233,1330.1
57233,4947,1330.1
4947,18503,370.9
18503,4947,370.9
4947,47454,948.6
47454,4947,948.6
4947,37385,995.3
37385,4947,995.3
4947,35640,1147.3
35640,4947,1147.3
4947,34747,1311.2
34747,4947,1311.2
4947,35750,1108.5
35750,4947,1108.5
4947,50007,1192.2
50007,4947,1192.2
4947,59910,2081.4
59910,4947,2081.4
4947,27814,753.7
27814,4947,753.7
4947,55305,1132.5
55305,4947,1132.5
4947,54858,1080.5
54858,4947,1080.5
4947,7029,356.5
7029,4947,356.5
4947,64625,1254.7
64625,4947,1254.7
4947,11368,347.9
11368,4947,347.9
4947,25203,772.4
25203,4947,772.4
4947,49240,723.2
49240,4947,723.2
4947,48875,747.0
48875,4947,747.0
4947,44502,592.4
44502,4947,592.4
4947,75287,1643.5
75287,4947,1643.5
4947,97416,2617.0
97416,4947,2617.0
4947,95646,2565.6
95646,4947,2565.6
4947,72661,1308.0
72661,4947,1308.0
4947,91762,2603.2
91762,4947,2603.2
4947,19560,429.9
19560,4947,429.9
4947,66851,1451.4
66851,4947,1451.4
4947,53150,902.5
53150,4947,902.5
4947,56304,1157.2
56304,4947,1157.2
4947,6389,257.9
6389,4947,257.9
4947,51563,1294.8
51563,4947,1294.8
4947,46055,874.0
46055,4947,874.0
4947,17936,427.9
17936,4947,427.9
4947,16151,560.2
16151,4947,560.2
4947,49323,791.3
49323,4947,791.3
4947,82646,1812.1
82646,4947,1812.1
4947,2464,194.1
2464,4947,194.1
4947,2188,198.4
2188,4947,198.4
4947,30281,1085.8
30281,4947,1085.8
4947,41265,818.1
41265,4947,818.1
4947,94063,2707.8
94063,4947,2707.8
4947,79014,1693.0
79014,4947,1693.0
4947,31031,1092.7
31031,4947,1092.7
4947,35006,1207.3
35006,4947,1207.3
4947,97345,2530.8
97345,4947,2530.8
4947,75494,1575.9
75494,4947,1575.9
4947,73639,1634.6
73639,4947,1634.6
4947,59425,1970.0
59425,4947,1970.0
4947,90058,2632.1
90058,4947,2632.1
4947,30666,1042.4
30666,4947,1042.4
4947,81062,1791.3
81062,4947,1791.3
4947,76308,1686.6
76308,4947,1686.6
4947,64433,1283.3
64433,4947,1283.3
4947,24014,737.3
24014,4947,737.3
4947,96106,2558.1
96106,4947,2558.1
4947,12577,317.0
12577,4947,317.0
4947,52077,1071.3
52077,4947,1071.3
4947,60654,899.4
60654,4947,899.4
4947,90266,2645.1
90266,4947,2645.1
4947,53065,910.8
53065,4947,910.8
4947,78363,1945.7
78363,4947,1945.7
4947,14150,452.5
14150,4947,452.5
4947,11225,355.7
11225,4947,355.7
4947,11207,353.7
11207,4947,353.7
4947,18709,385.4
18709,4947,385.4
4947,87730,1875.6
87730,4947,1875.6
4947,23055,649.8
23055,4947,649.8
4947,5346,179.7
5346,4947,179.7
4947,45827,763.4
45827,4947,763.4
4947,68430,1368.8
68430,4947,1368.8
4947,97141,2560.0
97141,4947,2560.0
4947,20748,550.4
20748,4947,550.4
4947,95975,2602.7
95975,4947,2602.7
4947,78632,1820.3
78632,4947,1820.3
4947,53928,943.5
53928,4947,943.5
4947,76934,1879.0
76934,4947,1879.0
4947,38869,1229.9
38869,4947,1229.9
4947,13674,301.3
13674,4947,301.3
4947,61571,1016.0
61571,4947,1016.0
4947,60560,944.5
60560,4947,944.5
4947,84029,2166.7
84029,4947,2166.7
4947,65775,1264.7
65775,4947,1264.7
4947,16036,547.3
16036,4947,547.3
4947,19145,434.4
19145,4947,434.4
4947,29493,1002.7
29493,4947,1002.7
4947,45005,813.0
45005,4947,813.0
4947,30106,1087.4
30106,4947,1087.4
4947,10465,342.4
10465,4947,342.4
4947,83121,2018.1
83121,4947,2018.1
4947,41833,863.0
41833,4947,863.0
4947,38751,1350.0
38751,4947,1350.0
4947,18816,364.8
18816,4947,364.8
4947,16803,485.3
16803,4947,485.3
4947,76034,1662.2
76034,4947,1662.2
4947,17343,508.0
17343,4947,508.0
4947,8009,435.8
8009,4947,435.8
4947,61433,1056.0
61433,4947,1056.0
4947,49048,787.0
49048,4947,787.0
4947,58707,1484.0
58707,4947,1484.0
4947,19956,524.5
19956,4947,524.5
4947,37397,1052.4
37397,4947,1052.4
4947,66524,1365.4
66524,4947,1365.4
4947,7833,376.2
7833,4947,376.2
4947,96080,2634.4
96080,4947,2634.4
4947,60464,915.9
60464,4947,915.9
4947,60470,965.9
60470,4947,965.9
4947,78724,1798.5
78724,4947,1798.5
4947,32066,1252.3
32066,4947,1252.3
4947,74880,1513.6
74880,4947,1513.6
4947,70776,1523.0
70776,4947,1523.0
4947,8846,376.2
8846,4947,376.2
4947,64441,1258.8
64441,4947,1258.8
4947,13687,229.3
13687,4947,229.3
4947,50173,1144.9
50173,4947,1144.9
4947,97396,2558.5
97396,4947,2558.5
4947,15690,560.8
15690,4947,560.8
4947,98057,2449.5
98057,4947,2449.5
4947,87753,1919.2
87753,4947,1919.2
4947,84013,2132.7
84013,4947,2132.7
4947,95237,2635.2
95237,4947,2635.2
4947,63010,1133.2
63010,4947,1133.2
4947,8628,403.3
8628,4947,403.3
4947,62692,1073.7
62692,4947,1073.7
4947,70003,1501.8
70003,4947,1501.8
4947,33185,1447.5
33185,4947,1447.5
4947,99040,2251.4
99040,4947,2251.4
4947,53202,888.3
53202,4947,888.3
4947,71675,1397.7
71675,4947,1397.7
4947,73945,1705.0
73945,4947,1705.0
4947,38326,1174.5
38326,4947,1174.5
4947,95608,2629.4
95608,4947,2629.4
4947,43788,671.6
43788,4947,671.6
4947,5667,118.4
5667,4947,118.4
4947,99036,2224.5
99036,4947,2224.5
4947,36322,1266.4
36322,4947,1266.4
4947,45336,779.2
45336,4947,779.2
4947,54470,969.8
54470,4947,969.8
4947,71658,1394.8
71658,4947,1394.8
4947,5048,147.8
5048,4947,147.8
4947,30663,1061.6
30663,4947,1061.6
4947,13163,303.7
13163,4947,303.7
4947,70049,1513.7
70049,4947,1513.7
4947,38079,1167.3
38079,4947,1167.3
4947,93723,2621.2
93723,4947,2621.2
4947,60510,933.3
60510,4947,933.3
4947,52583,1194.3
52583,4947,1194.3
4947,20204,549.0
20204,4947,549.0
4947,14861,382.0
14861,4947,382.0
4947,44089,661.1
44089,4947,661.1
4947,85709,2348.6
85709,4947,2348.6
4947,32612,1250.3
32612,4947,1250.3
4947,32438,1296.7
32438,4947,1296.7
4947,16686,505.4
16686,4947,505.4
4947,57551,1560.5
57551,4947,1560.5
4947,65755,1296.6
65755,4947,1296.6
4947,99721,3181.8
99721,4947,3181.8
4947,89002,2403.4
89002,4947,2403.4
4947,21133,515.5
21133,4947,515.5
4947,70639,1587.0
70639,4947,1587.0
4947,78074,1867.2
78074,4947,1867.2
4947,95307,2644.9
95307,4947,2644.9
4947,24211,841.8
24211,4947,841.8
4947,5405,150.5
5405,4947,150.5
4947,3054,163.4
3054,4947,163.4
4947,20722,544.1
20722,4947,544.1
4947,11769,330.8
11769,4947,330.8
4947,94533,2673.0
94533,4947,2673.0
4947,78753,1797.1
78753,4947,1797.1
4947,53007,895.7
53007,4947,895.7
4947,68601,1385.8
68601,4947,1385.8
4947,8008,425.5
8008,4947,425.5
4947,77080,1729.7
77080,4947,1729.7
4947,51460,1281.6
51460,4947,1281.6
4947,75791,1604.5
75791,4947,1604.5
4947,54420,986.3
54420,4947,986.3
4947,62560,1066.8
62560,4947,1066.8
4947,95817,2638.0
95817,4947,2638.0
4947,17037,484.1
17037,4947,484.1
4947,54304,876.1
54304,4947,876.1
4947,48601,686.5
48601,4947,686.5
4947,59762,2062.1
59762,4947,2062.1
4947,37726,977.4
37726,4947,977.4
4947,46156,868.4
46156,4947,868.4
4947,61875,985.5
61875,4947,985.5
4947,90280,2633.1
90280,4947,2633.1
4947,24087,749.2
24087,4947,749.2
4947,38504,964.3
38504,4947,964.3
4947,41049,834.4
41049,4947,834.4
4947,50441,1154.5
50441,4947,1154.5
4947,71720,1420.3
71720,4947,1420.3
4947,71079,1465.8
71079,4947,1465.8
4947,68959,1483.6
68959,4947,1483.6
4947,55430,1125.1
55430,4947,1125.1
4947,20723,530.4
20723,4947,530.4
4947,23175,607.5
23175,4947,607.5
4947,42326,1024.0
42326,4947,1024.0
4947,49872,818.9
49872,4947,818.9
4947,62621,1097.4
62621,4947,1097.4
4947,37616,893.5
37616,4947,893.5
24818,57233,949.4
57233,24818,949.4
24818,18503,412.2
18503,24818,412.2
24818,47454,271.1
47454,24818,271.1
24818,37385,213.6
37385,24818,213.6
24818,35640,369.3
35640,24818,369.3
24818,34747,640.7
34747,24818,640.7
24818,35750,332.4
35750,24818,332.4
24818,50007,700.0
50007,24818,700.0
24818,59910,1786.5
59910,24818,1786.5
24818,27814,302.8
27814,24818,302.8
24818,55305,795.4
55305,24818,795.4
24818,54858,781.9
54858,24818,781.9
24818,7029,455.4
7029,24818,455.4
24818,64625,674.4
64625,24818,674.4
24818,11368,469.9
11368,24818,469.9
24818,25203,31.8
25203,24818,31.8
24818,49240,349.6
49240,24818,349.6
24818,48875,402.2
48875,24818,402.2
24818,44502,245.4
44502,24818,245.4
24818,75287,915.5
75287,24818,915.5
24818,97416,2229.2
97416,24818,2229.2
24818,95646,2077.8
95646,24818,2077.8
24818,72661,611.2
72661,24818,611.2
24818,91762,2025.2
91762,24818,2025.2
24818,19560,363.6
19560,24818,363.6
24818,66851,836.0
66851,24818,836.0
24818,53150,500.5
53150,24818,500.5
24818,56304,843.0
56304,24818,843.0
24818,6389,575.3
6389,24818,575.3
24818,51563,793.3
51563,24818,793.3
24818,46055,279.6
46055,24818,279.6
24818,17936,356.9
17936,24818,356.9
24818,16151,275.2
16151,24818,275.2
24818,49323,416.1
49323,24818,416.1
24818,82646,1374.7
82646,24818,1374.7
24818,2464,639.9
2464,24818,639.9
24818,2188,648.8
2188,24818,648.8
24818,30281,314.2
30281,24818,314.2
24818,41265,60.1
41265,24818,60.1
24818,94063,2210.6
94063,24818,2210.6
24818,79014,1042.2
79014,24818,1042.2
24818,31031,340.2
31031,24818,340.2
24818,35006,426.1
35006,24818,426.1
24818,97345,2167.8
97345,24818,2167.8
24818,75494,835.4
75494,24818,835.4
24818,73639,970.1
73639,24818,970.1
24818,59425,1686.0
59425,24818,1686.0
24818,90058,2057.0
90058,24818,2057.0
24818,30666,274.6
30666,24818,274.6
24818,81062,1217.3
81062,24818,1217.3
24818,76308,983.8
76308,24818,983.8
24818,64433,725.9
64433,24818,725.9
24818,24014,97.7
24014,24818,97.7
24818,96106,2093.2
96106,24818,2093.2
24818,12577,479.3
12577,24818,479.3
24818,52077,636.0
52077,24818,636.0
24818,60654,435.6
60654,24818,435.6
24818,90266,2069.4
90266,24818,2069.4
24818,53065,555.4
53065,24818,555.4
24818,78363,1175.6
78363,24818,1175.6
24818,14150,399.1
14150,24818,399.1
24818,11225,462.5
11225,24818,462.5
24818,11207,465.6
11207,24818,465.6
24818,18709,397.6
18709,24818,397.6
24818,87730,1254.2
87730,24818,1254.2
24818,23055,186.9
23055,24818,186.9
24818,5346,607.8
5346,24818,607.8
24818,45827,274.7
45827,24818,274.7
24818,68430,833.8
68430,24818,833.8
24818,97141,2222.9
97141,24818,2222.9
24818,20748,268.0
20748,24818,268.0
24818,95975,2131.0
95975,24818,2131.0
24818,78632,1061.8
78632,24818,1061.8
24818,53928,563.6
53928,24818,563.6
24818,76934,1159.2
76934,24818,1159.2
24818,38869,462.0
38869,24818,462.0
24818,13674,514.1
13674,24818,514.1
24818,61571,470.0
61571,24818,470.0
24818,60560,455.9
60560,24818,455.9
24818,84029,1688.9
84029,24818,1688.9
24818,65775,568.2
65775,24818,568.2
24818,16036,264.8
16036,24818,264.8
24818,19145,381.9
19145,24818,381.9
24818,29493,317.6
29493,24818,317.6
24818,45005,196.7
45005,24818,196.7
24818,30106,310.2
30106,24818,310.2
24818,10465,473.7
10465,24818,473.7
24818,83121,1560.3
83121,24818,1560.3
24818,41833,84.4
41833,24818,84.4
24818,38751,584.6
38751,24818,584.6
24818,18816,417.0
18816,24818,417.0
24818,16803,297.9
16803,24818,297.9
24818,76034,934.9
76034,24818,934.9
